episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage,subset
50,1,play,18.0,4,3,"[""5C"", ""7C"", ""2H"", ""12C"", ""1D"", ""6S"", ""11D"", ""13D""]","[""5C"", ""7C"", ""2H"", ""12C"", ""1D"", ""6S"", ""11D"", ""13D""]","[""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""10H"", ""12H"", ""13H"", ""3D"", ""5D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""1C"", ""2C"", ""3C"", ""4C"", ""6C"", ""10C"", ""11C"", ""13C"", ""1S"", ""3S"", ""4S"", ""5S"", ""7S"", ""8S"", ""9S"", ""10S"", ""11S"", ""12S"", ""13S""]",18.083773782849313,play_bottom10
66,16,play,17.0,0,0,"[""8C"", ""1S"", ""2C"", ""7H"", ""13D"", ""12C"", ""5H"", ""9C""]","[""8C"", ""1S"", ""2C"", ""7H"", ""12C"", ""5H"", ""9C""]",[],18.126343846321102,play_bottom10
40,8,play,17.0,0,0,"[""3S"", ""12D"", ""6C"", ""4H""]","[""3S"", ""12D"", ""6C"", ""4H""]",[],18.1937038898468,play_bottom10
51,2,play,18.0,3,3,"[""2S"", ""13H"", ""4H"", ""8D"", ""5C"", ""6D"", ""9C"", ""11D""]","[""2S"", ""13H"", ""4H"", ""8D"", ""5C"", ""6D"", ""9C"", ""11D""]","[""1H"", ""2H"", ""5H"", ""6H"", ""9H"", ""10H"", ""11H"", ""4D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""7C"", ""8C"", ""10C"", ""11C"", ""13C"", ""1S"", ""3S"", ""5S"", ""6S"", ""7S"", ""9S"", ""10S"", ""11S"", ""12S"", ""13S""]",18.228395614624024,play_bottom10
16,1,play,18.0,4,3,"[""11S"", ""4S"", ""12S"", ""7H"", ""8D"", ""10C"", ""13C"", ""1H""]","[""11S"", ""4S"", ""12S"", ""7H"", ""8D"", ""10C"", ""13C"", ""1H""]","[""2H"", ""5H"", ""6H"", ""8H"", ""9H"", ""10H"", ""11H"", ""12H"", ""13H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""7D"", ""9D"", ""11D"", ""12D"", ""13D"", ""1C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""12C"", ""1S"", ""2S"", ""3S"", ""5S"", ""6S"", ""7S"", ""8S"", ""9S"", ""10S"", ""13S""]",18.31493978321552,play_bottom10
67,7,play,18.0,0,1,"[""4S"", ""12S"", ""5D"", ""10S"", ""13H"", ""6S"", ""7H"", ""1H""]","[""4S"", ""12S"", ""5D"", ""10S"", ""13H"", ""6S"", ""7H"", ""1H""]",[],18.74216216802597,play_bottom10
30,7,play,18.0,0,1,"[""5H"", ""13H"", ""10S"", ""11S"", ""6C"", ""4S"", ""12C"", ""1H""]","[""5H"", ""13H"", ""10S"", ""11S"", ""6C"", ""4S"", ""12C"", ""1H""]",[],18.801819562911987,play_bottom10
61,8,play,18.0,0,0,"[""11S"", ""7H"", ""1D"", ""3S"", ""12H"", ""13H"", ""5S""]","[""11S"", ""7H"", ""1D"", ""3S"", ""12H"", ""13H"", ""5S""]",[],18.88853883743286,play_bottom10
15,34,play,18.0,0,0,"[""5D"", ""11S"", ""2H"", ""13H"", ""9C"", ""3S"", ""10H"", ""8D""]","[""5D"", ""11S"", ""2H"", ""13H"", ""9C"", ""3S"", ""10H"", ""8D""]",[],19.02333867549896,play_bottom10
84,12,play,18.0,0,0,"[""5H"", ""1S"", ""3C"", ""7C"", ""12H"", ""8H"", ""4D"", ""13S""]","[""5H"", ""1S"", ""3C"", ""7C"", ""12H"", ""4D"", ""13S""]",[],19.06486666202545,play_bottom10
53,10,play,18.0,0,0,"[""7H"", ""5S"", ""13S""]","[""7H"", ""5S"", ""13S""]",[],19.115832448005676,play_bottom10
12,12,play,18.0,0,0,"[""7S"", ""3C"", ""10C"", ""4S"", ""9C"", ""5H"", ""13D"", ""2C""]","[""7S"", ""3C"", ""10C"", ""4S"", ""9C"", ""5H"", ""13D"", ""2C""]",[],19.138314366340637,play_bottom10
40,2,play,24.0,3,3,"[""1C"", ""1D"", ""12C"", ""5D"", ""10D"", ""9D"", ""2C"", ""3C""]","[""1C"", ""1D"", ""12C"", ""5D"", ""10D"", ""9D"", ""2C"", ""3C""]","[""2H"", ""4H"", ""5H"", ""6H"", ""9H"", ""11H"", ""12H"", ""2D"", ""3D"", ""6D"", ""7D"", ""8D"", ""12D"", ""13D"", ""4C"", ""6C"", ""7C"", ""8C"", ""9C"", ""10C"", ""11C"", ""2S"", ""3S"", ""7S"", ""9S"", ""10S"", ""12S"", ""13S""]",23.612852876484393,play_bottom10
100,3,play,24.0,2,3,"[""1H"", ""4C"", ""7C"", ""3D"", ""5S"", ""11H"", ""1D"", ""8H""]","[""1H"", ""4C"", ""7C"", ""3D"", ""5S"", ""11H"", ""1D"", ""8H""]","[""4H"", ""6H"", ""2D"", ""4D"", ""7D"", ""9D"", ""1C"", ""2C"", ""3C"", ""5C"", ""8C"", ""10C"", ""11C"", ""1S"", ""2S"", ""3S"", ""4S"", ""6S"", ""7S"", ""10S""]",24.02361978560686,play_bottom10
30,2,play,24.0,3,3,"[""13S"", ""5S"", ""1S"", ""7H"", ""1C"", ""9S"", ""3D"", ""8D""]","[""13S"", ""5S"", ""1S"", ""7H"", ""1C"", ""9S"", ""3D"", ""8D""]","[""1H"", ""2H"", ""5H"", ""6H"", ""8H"", ""9H"", ""13H"", ""5D"", ""7D"", ""11D"", ""13D"", ""2C"", ""3C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""2S"", ""4S"", ""6S"", ""7S"", ""10S"", ""11S"", ""12S""]",24.080898187160493,play_bottom10
34,6,play,24.0,0,2,"[""7S"", ""11H"", ""10C"", ""12S"", ""6S"", ""1S"", ""1C"", ""5H""]","[""7S"", ""11H"", ""10C"", ""12S"", ""1S"", ""1C"", ""5H""]","[""4D"", ""8S""]",24.634675979614254,play_bottom10
92,12,play,24.0,0,0,"[""4S"", ""1C"", ""9C"", ""10D"", ""7C"", ""6H"", ""1D"", ""13S""]","[""4S"", ""1C"", ""9C"", ""10D"", ""7C"", ""6H"", ""1D"", ""13S""]",[],25.20864498615265,play_bottom10
40,6,play,28.0,2,0,"[""6H"", ""2H"", ""11H"", ""13D"", ""2S"", ""8C"", ""3D"", ""12H""]","[""6H"", ""2H"", ""11H"", ""13D"", ""2S"", ""8C"", ""3D"", ""12H""]","[""4H"", ""12D"", ""6C"", ""3S""]",27.57688673079014,play_bottom10
23,3,play,28.0,2,3,"[""2S"", ""8S"", ""7C"", ""5D"", ""4H"", ""2C"", ""11H"", ""10H""]","[""2S"", ""8S"", ""7C"", ""5D"", ""4H"", ""2C"", ""11H"", ""10H""]","[""1H"", ""3H"", ""5H"", ""6H"", ""12H"", ""3D"", ""9D"", ""11D"", ""13D"", ""1C"", ""6C"", ""9C"", ""12C"", ""1S"", ""4S"", ""6S"", ""7S"", ""9S"", ""10S"", ""12S""]",27.657762036435305,play_bottom10
20,2,play,28.0,3,3,"[""4S"", ""2H"", ""2C"", ""1C"", ""6H"", ""7H"", ""9C"", ""3D""]","[""4S"", ""2H"", ""2C"", ""1C"", ""6H"", ""7H"", ""9C"", ""3D""]","[""3H"", ""5H"", ""8H"", ""10H"", ""11H"", ""13H"", ""1D"", ""2D"", ""4D"", ""5D"", ""7D"", ""9D"", ""13D"", ""4C"", ""5C"", ""7C"", ""8C"", ""10C"", ""12C"", ""13C"", ""1S"", ""5S"", ""7S"", ""8S"", ""9S"", ""10S"", ""11S"", ""13S""]",27.73274972110987,play_bottom10
67,3,play,28.0,2,3,"[""4H"", ""3C"", ""11H"", ""8H"", ""7C"", ""2C"", ""12C"", ""2H""]","[""4H"", ""3C"", ""11H"", ""8H"", ""7C"", ""2C"", ""12C"", ""2H""]","[""1H"", ""3H"", ""6H"", ""7H"", ""9H"", ""13H"", ""2D"", ""4D"", ""5D"", ""1C"", ""5C"", ""6C"", ""9C"", ""10C"", ""2S"", ""4S"", ""6S"", ""9S"", ""10S"", ""12S""]",27.749580714702606,play_bottom10
82,3,play,28.0,2,3,"[""13C"", ""7H"", ""2H"", ""1D"", ""9D"", ""2C"", ""5S"", ""10H""]","[""13C"", ""7H"", ""2H"", ""1D"", ""9D"", ""2C"", ""5S"", ""10H""]","[""3H"", ""4H"", ""6H"", ""9H"", ""4D"", ""7D"", ""11D"", ""1C"", ""4C"", ""5C"", ""8C"", ""11C"", ""1S"", ""2S"", ""3S"", ""4S"", ""7S"", ""11S"", ""12S"", ""13S""]",27.768498284816744,play_bottom10
85,3,discard,207.0,3,2,"[""3S"", ""8S"", ""2H"", ""7C"", ""10H"", ""3C"", ""13S"", ""12H""]","[""3S"", ""7C"", ""3C""]","[""3H"", ""4H"", ""7H"", ""8H"", ""11H"", ""2D"", ""6D"", ""7D"", ""8D"", ""10D"", ""12D"", ""13D"", ""1C"", ""2C"", ""4C"", ""6C"", ""9C"", ""10C"", ""13C"", ""1S"", ""2S"", ""6S"", ""7S"", ""11S"", ""12S""]",206.9247247739136,discard_top10
70,6,discard,184.0,2,0,"[""8C"", ""6C"", ""10S"", ""6H"", ""3S"", ""9S"", ""3D"", ""12S""]","[""8C"", ""6H"", ""3S"", ""9S"", ""12S""]","[""1H"", ""8H"", ""8D"", ""5C"", ""4S""]",183.74103596508505,discard_top10
58,3,discard,172.0,3,2,"[""8D"", ""2S"", ""3D"", ""9S"", ""4S"", ""6H"", ""11D"", ""4C""]","[""8D"", ""3D"", ""9S"", ""6H"", ""11D""]","[""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""9H"", ""1D"", ""4D"", ""10D"", ""12D"", ""13D"", ""3C"", ""5C"", ""6C"", ""7C"", ""9C"", ""10C"", ""12C"", ""3S"", ""6S"", ""8S"", ""11S""]",172.68068667590617,discard_top10
