episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
5200,38468,63.21999999999999,100.0,102.0,175.79700000000005,186.83,189.78,868.0,0.04707317073170732,0.675
5300,39162,158.88,112.0,120.0,181.7876,181.77,184.5,868.0,0.04707317073170732,0.675
5400,39861,123.22,113.0,117.0,184.57600000000005,187.84,190.42,868.0,0.04707317073170732,0.675
5500,40554,133.36,74.0,79.0,181.9205,177.04,180.04,868.0,0.04707317073170732,0.675
5600,41254,161.73000000000002,134.0,137.0,188.99559999999997,186.44,189.44,868.0,0.0467479674796748,0.7166666666666667
5700,41908,209.56,187.0,188.0,194.90599999999998,194.96,198.15,868.0,0.0467479674796748,0.7166666666666667
5800,42571,107.0,107.0,110.0,183.38119999999995,184.25,187.25,868.0,0.0467479674796748,0.7166666666666667
5900,43232,236.64,229.0,232.0,194.22199999999998,193.32,196.39,868.0,0.0467479674796748,0.7166666666666667
6000,43902,133.0,133.0,138.0,197.51489999999998,194.57,197.55,868.0,0.0467479674796748,0.7166666666666667
6100,44550,206.0,206.0,210.0,185.49789999999996,189.49,192.93,868.0,0.0467479674796748,0.7166666666666667
6200,45223,125.97,145.0,149.0,181.51210000000003,181.26,184.13,868.0,0.04642276422764228,0.7583333333333333
6300,45877,340.0,340.0,345.0,192.4272,189.04,191.82,868.0,0.04642276422764228,0.7583333333333333
6400,46549,238.69,284.0,287.0,185.89860000000002,186.49,189.7,868.0,0.04642276422764228,0.7583333333333333
6500,47233,-4.369999999999997,177.0,183.0,200.84329999999997,204.56,208.15,868.0,0.04642276422764228,0.7583333333333333
6600,47919,126.03999999999999,162.0,171.0,181.4923,185.91,189.04,868.0,0.04642276422764228,0.7583333333333333
6700,48610,689.3000000000001,596.0,602.0,196.42549999999994,187.2,190.44,868.0,0.04642276422764228,0.7583333333333333
6800,49293,126.0,126.0,128.0,189.9579,188.24,191.41,868.0,0.046097560975609755,0.8
6900,49972,169.92,154.0,159.0,194.97129999999999,192.45,196.23,868.0,0.046097560975609755,0.8
7000,50653,183.23000000000002,152.0,154.0,203.70939999999996,205.63,209.6,868.0,0.046097560975609755,0.8
7100,51357,113.62,168.0,171.0,177.476,182.44,186.16,868.0,0.046097560975609755,0.8
7200,52019,168.0,168.0,173.0,203.9395,207.62,211.22,868.0,0.046097560975609755,0.8
7300,52713,113.67000000000002,116.0,117.0,195.1043,200.92,205.07,873.0,0.046097560975609755,0.8
7400,53379,247.1,215.0,222.0,200.44459999999998,211.22,215.12,873.0,0.04577235772357724,0.8
7500,54018,145.38,195.0,197.0,186.45620000000002,188.56,192.33,873.0,0.04577235772357724,0.8
7600,54666,111.76,171.0,179.0,200.1679,201.87,206.32,873.0,0.04577235772357724,0.8
7700,55308,33.36000000000001,68.0,74.0,213.3518,210.53,214.76,1166.0,0.04577235772357724,0.8
7800,55950,269.5,226.0,229.0,194.6449,192.72,196.83,1166.0,0.04577235772357724,0.8
7900,56598,131.01,102.0,103.0,197.1793,195.74,199.99,1166.0,0.04577235772357724,0.8
8000,57243,193.57999999999998,181.0,186.0,206.69500000000005,204.06,208.31,1166.0,0.04577235772357724,0.8
8100,57885,104.36999999999999,119.0,122.0,209.45839999999995,210.68,215.56,1166.0,0.045447154471544716,0.8
8200,58522,229.73999999999998,190.0,195.0,205.96430000000004,204.23,209.01,1166.0,0.045447154471544716,0.8
8300,59165,191.07999999999998,161.0,163.0,201.0459,197.89,202.33,1166.0,0.045447154471544716,0.8
8400,59818,187.72,268.0,272.0,199.38800000000003,201.66,206.32,1166.0,0.045447154471544716,0.8
8500,60442,72.0,72.0,78.0,221.81370000000004,221.71,226.82,1166.0,0.045447154471544716,0.8
8600,61082,45.19,95.0,100.0,189.31350000000003,192.06,196.56,1166.0,0.045447154471544716,0.8
8700,61712,316.0,316.0,321.0,199.2065,195.44,200.18,1166.0,0.0451219512195122,0.8
