episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,play_ratio
100,761,269.4133333333333,160.0,160.0,136.77013333333335,127.1,127.1,425.0,0.05,0.625
200,1522,45.59999999999999,76.0,76.0,112.24373333333335,122.2,122.2,425.0,0.05,0.625
300,2286,139.07999999999998,125.0,125.0,125.99746666666668,132.23,132.23,425.0,0.05,0.625
400,3054,115.78666666666668,138.0,138.0,130.78519999999997,135.43,135.43,467.0,0.05,0.625
500,3822,233.92,96.0,96.0,133.93746666666667,142.41,142.41,467.0,0.05,0.625
600,4589,57.70666666666665,86.0,86.0,143.1346666666667,138.22,138.22,467.0,0.04692307692307693,0.625
700,5361,116.45333333333335,166.0,166.0,138.74266666666665,136.46,136.46,467.0,0.04692307692307693,0.625
800,6131,140.06666666666666,77.0,77.0,150.68853333333334,141.08,141.08,467.0,0.04692307692307693,0.625
900,6903,129.12,206.0,206.0,131.74373333333332,137.36,137.36,649.0,0.04692307692307693,0.7142857142857143
1000,7674,243.50666666666666,115.0,115.0,124.75439999999999,141.24,141.24,649.0,0.04692307692307693,0.625
1100,8443,-23.24000000000001,119.0,119.0,148.5252,140.49,140.49,649.0,0.04384615384615385,0.625
1200,9218,406.5866666666667,266.0,266.0,159.02706666666666,145.59,145.59,649.0,0.04384615384615385,0.625
1300,9981,62.06666666666666,203.0,203.0,125.18373333333335,139.16,139.16,649.0,0.04384615384615385,0.7142857142857143
1400,10744,235.73333333333335,244.0,244.0,123.62639999999999,146.16,146.16,649.0,0.04384615384615385,0.8333333333333334
1500,11503,-38.613333333333344,142.0,142.0,128.62026666666668,134.92,134.92,649.0,0.04384615384615385,0.625
1600,12264,161.26666666666668,143.0,143.0,121.11120000000001,138.82,138.82,649.0,0.04384615384615385,0.625
1700,13024,289.33333333333337,134.0,134.0,128.8572,133.09,133.09,649.0,0.04076923076923077,0.625
1800,13781,294.2266666666667,115.0,115.0,130.0898666666667,135.6,135.6,649.0,0.04076923076923077,0.625
1900,14530,276.02666666666664,250.0,250.0,125.16079999999998,138.2,138.2,649.0,0.04076923076923077,0.625
2000,15299,293.20000000000005,138.0,138.0,163.12426666666667,142.88,142.88,649.0,0.04076923076923077,0.625
2100,16073,251.25333333333333,216.0,216.0,139.39800000000002,140.25,140.25,649.0,0.04076923076923077,0.625
2200,16852,200.66666666666666,204.0,204.0,132.99386666666666,140.8,140.8,649.0,0.03769230769230769,0.625
2300,17614,549.5333333333334,419.0,419.0,145.97466666666665,149.5,149.5,755.0,0.03769230769230769,0.625
2400,18380,3.0666666666666487,120.0,120.0,160.72,154.56,154.56,755.0,0.03769230769230769,0.625
2500,19156,275.90666666666664,117.0,117.0,138.82706666666664,140.93,140.93,755.0,0.03769230769230769,0.625
2600,19927,199.78666666666666,162.0,162.0,163.89239999999998,138.21,138.21,755.0,0.03769230769230769,0.625
2700,20688,-189.45333333333338,157.0,157.0,133.5324,136.63,136.63,755.0,0.03461538461538462,0.625
2800,21460,320.20000000000005,165.0,165.0,122.66373333333335,138.3,138.3,755.0,0.03461538461538462,0.625
2900,22206,177.89333333333332,140.0,140.0,136.61453333333333,149.81,149.81,755.0,0.03461538461538462,0.8333333333333334
3000,22972,199.2,118.0,118.0,142.4458666666667,140.16,140.16,755.0,0.03461538461538462,0.625
3100,23727,96.4,70.0,70.0,152.85733333333334,144.98,144.98,755.0,0.03461538461538462,0.7142857142857143
3200,24471,170.38666666666666,267.0,267.0,151.09533333333334,148.65,148.65,755.0,0.03461538461538462,0.625
3300,25232,320.4,274.0,274.0,136.22293333333334,142.2,142.2,755.0,0.03153846153846154,0.625
3400,25993,2.213333333333317,76.0,76.0,148.95999999999998,142.04,142.04,755.0,0.03153846153846154,0.625
3500,26755,24.559999999999985,122.0,122.0,147.8062666666667,144.85,144.85,755.0,0.03153846153846154,0.625
3600,27521,161.14666666666668,104.0,104.0,160.9652,154.09,154.09,755.0,0.03153846153846154,0.7142857142857143
3700,28280,-13.679999999999993,92.0,92.0,140.034,146.19,146.19,755.0,0.03153846153846154,0.7142857142857143
3800,29041,39.106666666666655,155.0,155.0,148.40666666666667,150.14,150.14,755.0,0.028461538461538465,0.625
3900,29795,171.24,171.0,171.0,165.83613333333335,164.21,164.21,755.0,0.028461538461538465,0.8333333333333334
4000,30553,226.26666666666668,190.0,190.0,161.1472,166.6,166.6,755.0,0.028461538461538465,0.8333333333333334
4100,31313,263.6533333333333,146.0,146.0,144.18813333333335,146.01,146.01,755.0,0.028461538461538465,0.625
4200,32087,27.573333333333338,132.0,132.0,142.92106666666666,147.78,147.78,755.0,0.028461538461538465,0.625
4300,32843,194.81333333333333,101.0,101.0,144.56573333333333,151.63,151.63,755.0,0.025384615384615384,0.7142857142857143
4400,33593,22.133333333333326,136.0,136.0,186.8793333333334,176.85,176.85,755.0,0.025384615384615384,0.625
4500,34345,218.69333333333336,130.0,130.0,180.86320000000003,161.12,161.12,755.0,0.025384615384615384,0.7142857142857143
4600,35112,275.76,120.0,120.0,156.8912,154.1,154.1,755.0,0.025384615384615384,0.625
4700,35876,167.46666666666667,158.0,158.0,152.51520000000002,155.6,155.6,755.0,0.025384615384615384,0.625
4800,36638,216.48000000000002,94.0,94.0,146.13026666666664,159.61,159.61,755.0,0.025384615384615384,0.7142857142857143
4900,37394,153.16,145.0,145.0,164.70933333333335,157.88,157.88,755.0,0.02230769230769231,0.625
5000,38141,-374.4533333333333,228.0,228.0,173.22053333333332,166.0,166.0,755.0,0.02230769230769231,0.625
5100,38899,101.90666666666665,103.0,103.0,152.89826666666667,154.37,154.37,755.0,0.02230769230769231,0.625
5200,39662,45.493333333333325,122.0,122.0,185.64066666666662,162.31,162.31,755.0,0.02230769230769231,0.625
5300,40404,68.64000000000001,112.0,112.0,157.8565333333333,170.68,170.68,755.0,0.02230769230769231,0.7142857142857143
