episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,play_ratio
100,793,608.28,403.0,403.0,458.7410666666667,375.46,375.46,1018.0,0.05,0.625
200,1587,608.28,409.0,409.0,404.9041333333333,326.55,326.55,1018.0,0.05,0.625
300,2384,563.8133333333333,480.0,480.0,451.8358666666666,370.69,370.69,1236.0,0.05,0.625
400,3177,730.8,496.0,496.0,463.0514666666667,394.3,394.3,1236.0,0.05,0.625
500,3975,440.58666666666664,308.0,308.0,436.1528,366.46,366.46,1236.0,0.05,0.625
600,4774,652.96,478.0,478.0,450.0734666666667,362.61,362.61,1236.0,0.04949367088607595,0.625
700,5569,446.20000000000005,335.0,335.0,428.06719999999996,354.82,354.82,1316.0,0.04949367088607595,0.625
800,6364,773.12,462.0,462.0,447.81133333333327,366.79,366.79,1316.0,0.04949367088607595,0.625
900,7157,428.26666666666665,206.0,206.0,435.00853333333333,363.86,363.86,1316.0,0.04949367088607595,0.625
1000,7956,527.1733333333334,296.0,296.0,422.21119999999996,363.24,363.24,1316.0,0.04949367088607595,0.625
1100,8746,553.4666666666667,560.0,560.0,405.9177333333334,351.19,351.19,1316.0,0.0489873417721519,0.625
1200,9536,564.0,564.0,564.0,410.07333333333327,352.66,352.66,1316.0,0.0489873417721519,1.0
1300,10330,638.88,418.0,418.0,445.1210666666666,385.88,385.88,1316.0,0.0489873417721519,0.625
1400,11125,421.0133333333333,206.0,206.0,436.7085333333334,370.12,370.12,1316.0,0.0489873417721519,0.625
1500,11918,642.2266666666667,431.0,431.0,431.1116,344.57,344.57,1316.0,0.0489873417721519,0.625
1600,12718,348.5466666666667,189.0,189.0,479.31440000000003,382.46,382.46,1466.0,0.04848101265822785,0.625
1700,13508,743.8933333333333,496.0,496.0,462.5654666666667,378.05,378.05,1466.0,0.04848101265822785,0.625
1800,14305,390.88,310.0,310.0,450.1625333333333,372.63,372.63,1466.0,0.04848101265822785,0.625
1900,15097,169.07999999999998,121.0,121.0,426.50973333333326,367.21,367.21,1466.0,0.04848101265822785,0.625
2000,15887,182.85333333333335,236.0,236.0,454.7754666666667,392.74,392.74,1466.0,0.04848101265822785,0.625
2100,16683,568.0,406.0,406.0,424.51800000000003,370.05,370.05,1466.0,0.0479746835443038,0.625
2200,17479,324.1866666666666,214.0,214.0,451.4073333333333,367.39,367.39,1466.0,0.0479746835443038,0.625
2300,18273,532.76,427.0,427.0,405.62520000000006,356.49,356.49,1466.0,0.0479746835443038,0.625
2400,19068,-63.21333333333338,335.0,335.0,442.19506666666666,386.17,386.17,1466.0,0.0479746835443038,0.625
2500,19862,456.24,268.0,268.0,437.9126666666667,364.39,364.39,1466.0,0.0479746835443038,0.625
2600,20654,434.1333333333333,328.0,328.0,441.9076,386.07,386.07,1466.0,0.04746835443037975,0.625
2700,21452,39.866666666666646,264.0,264.0,409.0134666666667,353.99,353.99,1466.0,0.04746835443037975,0.625
2800,22249,1.1333333333333258,145.0,145.0,442.6398666666667,378.41,378.41,1466.0,0.04746835443037975,0.625
2900,23044,139.83999999999997,226.0,226.0,507.6590666666666,413.61,413.61,1466.0,0.04746835443037975,0.625
3000,23836,298.0,298.0,298.0,408.82626666666664,340.93,340.93,1466.0,0.04746835443037975,1.0
3100,24626,407.3466666666667,279.0,279.0,451.10546666666664,361.99,361.99,1466.0,0.0469620253164557,0.625
3200,25416,434.02666666666664,294.0,294.0,441.7929333333333,373.43,373.43,1466.0,0.0469620253164557,0.625
3300,26203,49.57333333333332,280.0,280.0,442.12613333333337,376.26,376.26,1466.0,0.0469620253164557,0.625
3400,26994,540.36,307.0,307.0,420.79106666666667,359.95,359.95,1466.0,0.0469620253164557,0.625
3500,27788,481.29333333333335,239.0,239.0,407.092,342.34,342.34,1466.0,0.0469620253164557,0.625
3600,28578,500.40000000000003,532.0,532.0,387.472,329.2,329.2,1466.0,0.0469620253164557,0.625
3700,29376,83.75999999999998,242.0,242.0,441.93426666666676,349.45,349.45,1466.0,0.04645569620253165,0.625
3800,30168,193.22666666666663,166.0,166.0,392.25293333333326,339.29,339.29,1466.0,0.04645569620253165,0.625
3900,30964,147.39999999999998,327.0,327.0,418.9430666666667,387.81,387.81,1466.0,0.04645569620253165,0.625
4000,31750,444.33333333333337,187.0,187.0,415.2001333333334,353.09,353.09,1466.0,0.04645569620253165,0.625
4100,32546,687.7066666666667,516.0,516.0,459.40186666666676,374.58,374.58,1466.0,0.04645569620253165,0.625
4200,33344,390.5466666666666,647.0,647.0,467.2936000000001,387.06,387.06,1466.0,0.0459493670886076,0.625
4300,34143,431.92,228.0,228.0,422.00759999999997,352.27,352.27,1466.0,0.0459493670886076,0.625
4400,34940,573.8933333333333,388.0,388.0,430.3534666666667,363.65,363.65,1466.0,0.0459493670886076,0.625
4500,35732,426.88000000000005,276.0,276.0,467.5617333333334,386.75,386.75,1466.0,0.0459493670886076,0.625
4600,36528,494.56000000000006,284.0,284.0,415.3285333333333,350.32,350.32,1466.0,0.0459493670886076,0.625
4700,37320,451.8933333333333,426.0,426.0,423.8113333333333,340.95,340.95,1466.0,0.04544303797468355,0.625
4800,38112,252.60000000000002,211.0,211.0,411.4828,354.37,354.37,1466.0,0.04544303797468355,0.625
4900,38904,454.4133333333333,327.0,327.0,415.7866666666666,344.54,344.54,1466.0,0.04544303797468355,0.625
5000,39697,196.04,117.0,117.0,360.50786666666664,311.79,311.79,1466.0,0.04544303797468355,0.625
5100,40483,526.8133333333333,347.0,347.0,432.8321333333333,378.97,378.97,1466.0,0.04544303797468355,0.625
5200,41275,439.64,371.0,371.0,442.11680000000007,367.1,367.1,1466.0,0.0449367088607595,0.625
5300,42069,281.1733333333333,310.0,310.0,399.82,345.8,345.8,1466.0,0.0449367088607595,0.625
5400,42851,507.52,432.0,432.0,420.7088,341.58,341.58,1466.0,0.0449367088607595,0.625
5500,43648,439.5466666666667,416.0,416.0,432.8186666666667,348.76,348.76,1466.0,0.0449367088607595,0.625
5600,44445,870.88,620.0,620.0,398.17800000000005,348.29,348.29,1466.0,0.0449367088607595,0.625
5700,45242,93.6133333333333,179.0,179.0,398.50426666666664,343.24,343.24,1466.0,0.04443037974683545,0.625
5800,46035,491.85333333333335,329.0,329.0,421.1254666666666,338.17,338.17,1466.0,0.04443037974683545,0.625
5900,46828,480.50666666666666,432.0,432.0,403.6205333333333,338.54,338.54,1466.0,0.04443037974683545,0.625
6000,47621,536.76,227.0,227.0,419.81080000000003,344.39,344.39,1466.0,0.04443037974683545,0.625
6100,48418,317.04,198.0,198.0,456.2202666666666,362.7,362.7,1466.0,0.04443037974683545,0.625
6200,49216,552.2666666666667,320.0,320.0,434.39573333333334,355.86,355.86,1466.0,0.043924050632911396,0.625
6300,50010,287.76,228.0,228.0,427.79453333333333,359.57,359.57,1466.0,0.043924050632911396,0.625
