episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis,play_ratio
100,767,272.0133333333333,279.0,280.0,137.4628,142.63,143.59,366.0,0.05,0.3,0.625
200,1543,256.9866666666667,206.0,208.0,123.68213333333333,149.12,149.95,366.0,0.05,0.3,0.625
300,2306,19.666666666666657,55.0,55.0,150.28466666666668,148.11,148.94,585.0,0.05,0.3,0.625
400,3063,154.49333333333334,91.0,92.0,122.94506666666668,137.78,138.62,585.0,0.05,0.3,0.8333333333333334
500,3823,-56.04000000000002,137.0,137.0,122.60959999999999,142.96,143.93,585.0,0.05,0.3,0.625
600,4581,173.06666666666666,208.0,208.0,109.7996,138.25,139.28,585.0,0.04983673469387755,0.3208333333333333,0.625
700,5332,102.21333333333331,162.0,166.0,131.1028,143.51,144.38,585.0,0.04983673469387755,0.3208333333333333,0.7142857142857143
800,6090,287.5733333333333,244.0,247.0,142.95573333333334,149.38,150.28,585.0,0.04983673469387755,0.3208333333333333,0.7142857142857143
900,6853,284.38666666666666,73.0,74.0,127.42506666666667,140.1,140.91,585.0,0.04983673469387755,0.3208333333333333,0.625
1000,7621,253.09333333333336,142.0,142.0,143.95653333333337,142.3,143.21,585.0,0.04983673469387755,0.3208333333333333,0.625
1100,8390,-201.88000000000002,113.0,114.0,138.4304,137.76,138.66,585.0,0.049673469387755104,0.3416666666666667,0.625
1200,9150,236.44,175.0,176.0,155.2592,146.72,147.7,585.0,0.049673469387755104,0.3416666666666667,0.625
1300,9901,193.7866666666667,118.0,119.0,158.57346666666663,151.53,152.42,585.0,0.049673469387755104,0.3416666666666667,0.625
1400,10674,-177.17333333333335,78.0,79.0,118.58439999999999,140.55,141.47,585.0,0.049673469387755104,0.3416666666666667,0.625
1500,11449,167.13333333333333,157.0,158.0,127.45746666666665,146.87,147.82,585.0,0.049673469387755104,0.3416666666666667,0.625
1600,12204,300.36,103.0,103.0,143.2016,145.4,146.4,585.0,0.049673469387755104,0.3416666666666667,0.625
1700,12969,145.90666666666667,107.0,109.0,124.02159999999999,138.08,138.96,585.0,0.049510204081632654,0.3625,0.625
