episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,play_ratio
100,761,269.4133333333333,160.0,160.0,136.77013333333335,127.1,127.1,425.0,0.05,0.625
200,1522,45.59999999999999,76.0,76.0,112.24373333333335,122.2,122.2,425.0,0.05,0.625
300,2286,139.07999999999998,125.0,125.0,125.99746666666668,132.23,132.23,425.0,0.05,0.625
400,3054,115.78666666666668,138.0,138.0,130.78519999999997,135.43,135.43,467.0,0.05,0.625
500,3822,233.92,96.0,96.0,133.93746666666667,142.41,142.41,467.0,0.05,0.625
600,4589,57.70666666666665,86.0,86.0,143.1346666666667,138.22,138.22,467.0,0.04949367088607595,0.625
700,5361,116.45333333333335,166.0,166.0,138.74266666666665,136.46,136.46,467.0,0.04949367088607595,0.625
800,6131,140.06666666666666,77.0,77.0,150.68853333333334,141.08,141.08,467.0,0.04949367088607595,0.625
900,6903,129.12,206.0,206.0,131.74373333333332,137.36,137.36,649.0,0.04949367088607595,0.7142857142857143
1000,7674,243.50666666666666,115.0,115.0,124.75439999999999,141.24,141.24,649.0,0.04949367088607595,0.625
1100,8443,162.18666666666667,74.0,74.0,159.89773333333332,139.01,139.01,649.0,0.0489873417721519,0.625
1200,9220,102.70666666666665,75.0,75.0,129.32933333333335,138.64,138.64,649.0,0.0489873417721519,0.625
1300,9976,203.82666666666668,133.0,133.0,140.24159999999998,141.52,141.52,649.0,0.0489873417721519,0.625
1400,10741,204.94666666666666,157.0,157.0,146.15946666666667,140.78,140.78,649.0,0.0489873417721519,0.7142857142857143
1500,11504,77.78666666666665,72.0,72.0,123.07786666666667,126.44,126.44,649.0,0.0489873417721519,0.625
1600,12264,209.08,125.0,125.0,112.92479999999999,133.62,133.62,649.0,0.0489873417721519,0.625
1700,13022,287.26666666666665,165.0,165.0,142.51693333333333,138.05,138.05,649.0,0.04848101265822785,0.625
1800,13770,-270.3466666666667,88.0,88.0,121.35333333333332,133.18,133.18,649.0,0.04848101265822785,0.625
1900,14527,-123.45333333333332,139.0,139.0,129.95066666666668,133.76,133.76,649.0,0.04848101265822785,0.625
2000,15285,-153.70666666666665,96.0,96.0,129.0896,140.8,140.8,649.0,0.04848101265822785,0.625
2100,16053,292.1066666666667,192.0,192.0,134.8244,128.29,128.29,649.0,0.04848101265822785,0.7142857142857143
2200,16822,194.60000000000002,107.0,107.0,156.63373333333334,145.51,145.51,649.0,0.0479746835443038,0.625
2300,17580,161.50666666666666,75.0,75.0,165.29853333333332,142.85,142.85,649.0,0.0479746835443038,0.625
2400,18348,228.96,76.0,76.0,153.16066666666666,142.99,142.99,649.0,0.0479746835443038,0.625
2500,19127,255.33333333333334,242.0,242.0,123.94533333333337,137.76,137.76,649.0,0.0479746835443038,0.625
2600,19900,198.89333333333332,159.0,159.0,134.92186666666666,149.74,149.74,649.0,0.0479746835443038,0.625
2700,20667,228.02666666666664,202.0,202.0,144.5053333333333,149.44,149.44,649.0,0.04746835443037975,0.625
2800,21436,-72.32,126.0,126.0,136.9818666666667,139.58,139.58,649.0,0.04746835443037975,0.625
2900,22194,-34.45333333333332,90.0,90.0,152.13479999999998,148.37,148.37,649.0,0.04746835443037975,0.625
3000,22942,114.42666666666666,114.0,114.0,142.57106666666667,139.21,139.21,649.0,0.04746835443037975,0.625
3100,23696,169.41333333333336,136.0,136.0,133.45679999999996,147.38,147.38,649.0,0.04746835443037975,0.8333333333333334
3200,24444,-48.46666666666667,75.0,75.0,135.22906666666665,140.38,140.38,649.0,0.04746835443037975,0.625
3300,25202,148.61333333333332,106.0,106.0,149.9648,149.66,149.66,649.0,0.0469620253164557,0.625
3400,25966,367.3466666666667,149.0,149.0,153.07866666666666,143.4,143.4,649.0,0.0469620253164557,0.625
3500,26743,228.33333333333337,117.0,117.0,143.61586666666668,152.09,152.09,649.0,0.0469620253164557,0.625
3600,27514,242.96,118.0,118.0,159.4036,156.01,156.01,649.0,0.0469620253164557,0.625
3700,28272,239.09333333333333,120.0,120.0,145.29840000000002,145.6,145.6,649.0,0.0469620253164557,0.625
3800,29028,136.85333333333332,112.0,112.0,164.4052,164.29,164.29,649.0,0.04645569620253165,0.7142857142857143
3900,29772,158.86666666666667,169.0,169.0,172.1738666666666,160.18,160.18,649.0,0.04645569620253165,0.625
4000,30530,201.76,76.0,76.0,158.12813333333332,145.69,145.69,649.0,0.04645569620253165,0.625
4100,31278,-5.013333333333367,166.0,166.0,167.3545333333333,152.35,152.35,649.0,0.04645569620253165,0.625
4200,32039,243.4666666666667,236.0,236.0,126.27533333333335,146.75,146.75,649.0,0.04645569620253165,0.625
4300,32798,-158.12,103.0,103.0,141.35906666666665,143.27,143.27,649.0,0.0459493670886076,0.625
4400,33529,166.48,118.0,118.0,193.53266666666667,173.75,173.75,649.0,0.0459493670886076,0.8333333333333334
4500,34290,118.29333333333334,132.0,132.0,171.18640000000002,169.68,169.68,649.0,0.0459493670886076,0.625
4600,35046,177.66666666666669,319.0,319.0,159.14586666666665,162.86,162.86,649.0,0.0459493670886076,0.625
4700,35780,27.0,157.0,157.0,165.84279999999998,153.25,153.25,649.0,0.0459493670886076,0.625
4800,36531,348.0,164.0,164.0,147.68893333333332,157.89,157.89,649.0,0.0459493670886076,0.7142857142857143
4900,37285,137.38666666666666,100.0,100.0,142.3673333333333,156.83,156.83,649.0,0.04544303797468355,0.625
5000,38023,243.0,253.0,253.0,151.92453333333333,159.96,159.96,649.0,0.04544303797468355,0.625
5100,38778,303.5733333333333,118.0,118.0,131.66106666666664,155.98,155.98,649.0,0.04544303797468355,0.7142857142857143
5200,39532,487.14666666666665,318.0,318.0,157.63493333333335,161.58,161.58,649.0,0.04544303797468355,0.625
5300,40282,418.6533333333333,227.0,227.0,135.50533333333334,148.48,148.48,649.0,0.04544303797468355,0.625
