episode,avg_score_7rounds,total_score,num_jokers,avg_score_50,joker_ids
50,6894.0,48258.0,5,11860.965714285714,"[9, 13, 5, 18, 2]"
100,67505.71428571429,472540.0,5,19426.077142857146,"[17, 28, 27, 3, 10]"
150,3302.714285714286,23119.0,5,105580.70571428572,"[13, 18, 17, 25, 12]"
200,1633.0,11431.0,5,46089.94285714286,"[19, 12, 5, 29, 1]"
250,2122.714285714286,14859.0,5,22327.902857142864,"[29, 12, 9, 22, 7]"
300,3820.0,26740.0,5,30382.62285714286,"[5, 7, 13, 24, 25]"
350,173195.85714285713,1212371.0,5,15606.494285714287,"[1, 9, 13, 20, 27]"
400,1092.2857142857142,7646.0,5,56242.72285714286,"[20, 8, 4, 29, 21]"
450,5825.142857142857,40776.0,5,98880.85714285714,"[6, 5, 1, 4, 21]"
500,1409.2857142857142,9865.0,5,17058.705714285712,"[13, 6, 19, 9, 4]"
550,433534.5714285714,3034742.0,5,56361.86,"[1, 21, 27, 23, 29]"
600,9167.285714285714,64171.0,5,32852.45714285714,"[15, 18, 20, 8, 13]"
650,1963.2857142857142,13743.0,5,90266.15999999997,"[19, 15, 7, 6, 18]"
700,2672.8571428571427,18710.0,5,26524.511428571426,"[17, 7, 1, 28, 13]"
750,2069.4285714285716,14486.0,5,103367.31714285715,"[7, 21, 0, 13, 8]"
800,11844.42857142857,82911.0,5,60778.19428571429,"[17, 5, 21, 25, 15]"
850,1811.2857142857142,12679.0,5,122429.39142857144,"[17, 3, 13, 6, 9]"
900,2753.5714285714284,19275.0,5,33325.56285714285,"[5, 3, 19, 14, 29]"
950,2300.4285714285716,16103.0,5,36494.974285714285,"[17, 28, 13, 29, 6]"
1000,1411183.857142857,9878287.0,5,106394.65142857144,"[17, 24, 14, 4, 27]"
1050,89619.42857142857,627336.0,5,33747.39714285714,"[15, 8, 27, 17, 25]"
1100,2490.1428571428573,17431.0,5,166139.29428571428,"[17, 5, 7, 13, 9]"
1150,729.4285714285714,5106.0,5,34771.72571428571,"[25, 13, 6, 9, 3]"
1200,2436.5714285714284,17056.0,5,41973.402857142864,"[28, 5, 21, 25, 0]"
1250,2030.7142857142858,14215.0,5,67313.91142857143,"[13, 1, 8, 6, 17]"
1300,137973.85714285713,965817.0,5,60317.457142857136,"[21, 15, 13, 27, 16]"
1350,1225247.4285714286,8576732.0,5,210771.65714285712,"[3, 10, 14, 24, 19]"
1400,3400.714285714286,23805.0,5,68319.64857142857,"[6, 14, 10, 9, 20]"
1450,1971.857142857143,13803.0,5,89032.37714285715,"[13, 18, 12, 6, 19]"
1500,1826.2857142857142,12784.0,5,29337.64,"[3, 1, 5, 8, 29]"
1550,1138.142857142857,7967.0,5,44282.76857142856,"[2, 7, 5, 12, 8]"
1600,81182.14285714286,568275.0,5,60704.911428571424,"[18, 13, 25, 7, 29]"
1650,643019.5714285715,4501137.0,5,108944.72857142858,"[24, 7, 25, 5, 17]"
1700,61753.0,432271.0,5,66528.89142857143,"[21, 13, 11, 27, 7]"
1750,4770.142857142857,33391.0,5,143187.79428571428,"[9, 29, 22, 10, 8]"
1800,8073.285714285715,56513.0,5,181216.2885714286,"[2, 22, 3, 24, 23]"
1850,2903.1428571428573,20322.0,5,51956.44857142856,"[18, 28, 8, 21, 29]"
1900,1165.2857142857142,8157.0,5,134189.61714285714,"[1, 13, 29, 8, 19]"
1950,8186.857142857143,57308.0,5,114963.00285714284,"[5, 20, 12, 8, 4]"
2000,143291.2857142857,1003039.0,5,32553.191428571427,"[7, 20, 13, 25, 8]"
2050,123980.42857142857,867863.0,5,28109.097142857147,"[18, 27, 17, 1, 21]"
2100,8928.0,62496.0,5,81154.91142857143,"[5, 19, 22, 2, 15]"
2150,1764.2857142857142,12350.0,5,98195.57428571429,"[1, 18, 29, 7, 17]"
2200,10437.285714285714,73061.0,5,62170.66,"[26, 29, 5, 28, 18]"
2250,30834.714285714286,215843.0,5,34127.54285714286,"[28, 3, 25, 1, 24]"
2300,332797.71428571426,2329584.0,5,143206.6542857143,"[27, 9, 19, 23, 15]"
2350,157709.85714285713,1103969.0,5,114046.6742857143,"[16, 28, 11, 27, 21]"
2400,4840.714285714285,33885.0,5,164031.28857142857,"[25, 26, 18, 9, 17]"
2450,45953.857142857145,321677.0,5,70333.86857142857,"[4, 21, 0, 28, 27]"
2500,14492.42857142857,101447.0,5,34518.48571428572,"[23, 12, 1, 15, 24]"
2550,105017.28571428571,735121.0,5,76838.43714285716,"[14, 2, 27, 0, 23]"
2600,2495.0,17465.0,5,93195.70857142858,"[14, 7, 21, 4, 3]"
2650,7846.714285714285,54927.0,5,114458.91142857146,"[8, 16, 17, 3, 13]"
2700,143099.0,1001693.0,5,209791.70857142855,"[27, 0, 14, 19, 6]"
2750,19155.85714285714,134091.0,5,222401.8057142857,"[7, 22, 10, 8, 24]"
2800,1252.4285714285713,8767.0,5,91710.69428571427,"[9, 21, 6, 28, 2]"
2850,2269.1428571428573,15884.0,5,189453.68,"[6, 13, 18, 4, 17]"
2900,1419.7142857142858,9938.0,5,101179.69714285714,"[11, 14, 25, 6, 28]"
2950,6832.571428571428,47828.0,5,202621.78285714283,"[26, 22, 9, 23, 14]"
3000,2359.1428571428573,16514.0,5,83597.22857142858,"[0, 25, 29, 9, 7]"
3050,2392.0,16744.0,5,62837.405714285705,"[19, 21, 0, 13, 3]"
3100,3071.1428571428573,21498.0,5,91341.85142857143,"[21, 15, 11, 6, 19]"
3150,44743.857142857145,313207.0,5,45639.05428571428,"[0, 2, 17, 15, 27]"
3200,6089.714285714285,42628.0,5,142622.28285714288,"[20, 23, 11, 13, 17]"
3250,370512.5714285714,2593588.0,5,72643.61428571428,"[0, 22, 15, 28, 25]"
3300,2913.1428571428573,20392.0,5,72550.57714285715,"[21, 25, 17, 5, 13]"
3350,3681.5714285714284,25771.0,5,170821.6285714286,"[0, 8, 6, 16, 7]"
3400,2599.8571428571427,18199.0,5,380032.0028571429,"[14, 0, 28, 6, 3]"
3450,15547.0,108829.0,5,165355.65428571432,"[2, 17, 10, 11, 24]"
3500,3178.4285714285716,22249.0,5,88431.33714285713,"[1, 16, 8, 0, 3]"
3550,127847.14285714286,894930.0,5,83357.28857142857,"[1, 3, 12, 9, 21]"
3600,12087.285714285714,84611.0,5,137345.33142857143,"[0, 28, 21, 13, 10]"
3650,4703.571428571428,32925.0,5,67430.62285714285,"[14, 29, 10, 11, 23]"
3700,41102.28571428572,287716.0,5,190433.0942857143,"[1, 10, 18, 29, 11]"
3750,235378.14285714287,1647647.0,5,82643.9057142857,"[2, 11, 28, 7, 6]"
3800,2931.8571428571427,20523.0,5,66716.98285714287,"[4, 13, 9, 6, 26]"
3850,20229.85714285714,141609.0,5,107577.9657142857,"[3, 13, 1, 19, 24]"
3900,3147.285714285714,22031.0,5,109023.0457142857,"[2, 14, 24, 11, 7]"
3950,1411.4285714285713,9880.0,5,157311.86571428573,"[13, 5, 12, 9, 26]"
4000,2213.5714285714284,15495.0,5,102782.8,"[17, 21, 13, 18, 0]"
4050,4698.428571428572,32889.0,5,53028.10857142857,"[14, 21, 10, 26, 25]"
4100,5002.0,35014.0,5,243242.9914285714,"[10, 17, 8, 5, 21]"
4150,5747.857142857143,40235.0,5,109379.52571428573,"[14, 4, 17, 28, 13]"
4200,26975.428571428572,188828.0,5,160582.56285714285,"[6, 3, 28, 24, 14]"
4250,2613.1428571428573,18292.0,5,44883.02,"[29, 0, 15, 6, 25]"
4300,2617.0,18319.0,5,49944.04571428572,"[2, 21, 25, 26, 15]"
4350,24426.285714285714,170984.0,5,45614.600000000006,"[24, 3, 17, 4, 5]"
4400,3310.0,23170.0,5,140075.1457142857,"[25, 12, 13, 6, 16]"
4450,3258.5714285714284,22810.0,5,67930.22857142857,"[5, 9, 4, 17, 10]"
4500,305353.5714285714,2137475.0,5,171556.7542857143,"[16, 11, 3, 27, 22]"
4550,96295.57142857143,674069.0,5,180464.2457142857,"[28, 22, 0, 23, 10]"
4600,543.5714285714286,3805.0,5,109861.22571428573,"[12, 13, 21, 0, 14]"
4650,33229.857142857145,232609.0,5,203603.00857142854,"[24, 6, 1, 3, 2]"
4700,4891.857142857143,34243.0,5,48775.74285714285,"[2, 15, 17, 11, 4]"
4750,36136.142857142855,252953.0,5,70198.29428571428,"[24, 28, 12, 14, 13]"
4800,621.7142857142857,4352.0,5,128269.73142857144,"[21, 7, 13, 14, 3]"
4850,2019.0,14133.0,5,126456.34571428572,"[18, 12, 5, 3, 9]"
4900,3386.714285714286,23707.0,5,65647.05714285714,"[0, 16, 9, 15, 13]"
4950,148788.0,1041516.0,5,128712.51142857144,"[1, 3, 15, 10, 24]"
5000,21189.714285714286,148328.0,5,165455.06285714288,"[7, 15, 24, 0, 29]"
5050,1738.142857142857,12167.0,5,97976.03142857141,"[4, 14, 5, 11, 7]"
5100,7505.857142857143,52541.0,5,185498.08,"[6, 24, 21, 28, 9]"
5150,15747.857142857143,110235.0,5,125175.15999999997,"[8, 21, 1, 2, 19]"
5200,56723.142857142855,397062.0,5,132448.4342857143,"[2, 17, 18, 0, 15]"
5250,59079.28571428572,413555.0,5,105989.81428571425,"[21, 18, 28, 27, 11]"
5300,1728.2857142857142,12098.0,5,69757.27428571429,"[7, 18, 21, 15, 25]"
5350,5147.571428571428,36033.0,5,70129.20285714285,"[21, 14, 10, 28, 5]"
5400,10034.142857142857,70239.0,5,177700.37428571432,"[21, 22, 8, 15, 17]"
