episode,avg_score_7rounds,total_score,num_jokers,avg_score_50,joker_ids
50,4807.142857142857,33650.0,5,52886.73142857142,"[0, 8, 18, 7, 22]"
100,2976.0,20832.0,5,46062.39428571428,"[29, 13, 3, 9, 19]"
150,1033.857142857143,7237.0,5,15385.017142857145,"[24, 1, 9, 13, 6]"
200,1736.142857142857,12153.0,5,34138.09142857143,"[17, 9, 13, 18, 4]"
250,2109.5714285714284,14767.0,5,23763.03714285714,"[13, 4, 6, 28, 9]"
300,4509.571428571428,31567.0,5,30714.94857142857,"[13, 28, 1, 18, 2]"
350,4408.142857142857,30857.0,5,23130.568571428572,"[15, 18, 21, 17, 8]"
400,1292.4285714285713,9047.0,5,36219.56857142857,"[3, 8, 5, 29, 13]"
450,2276.4285714285716,15935.0,5,10755.574285714283,"[26, 17, 29, 13, 9]"
500,2107798.5714285714,14754590.0,5,54377.42857142857,"[8, 24, 27, 17, 5]"
550,2197.285714285714,15381.0,5,14226.740000000002,"[17, 2, 9, 10, 13]"
600,3200.8571428571427,22406.0,5,25124.311428571425,"[28, 0, 10, 6, 1]"
650,2052.1428571428573,14365.0,5,13988.511428571428,"[17, 5, 7, 29, 19]"
700,1767.7142857142858,12374.0,5,35910.637142857144,"[8, 5, 18, 29, 9]"
750,1447.4285714285713,10132.0,5,38560.962857142855,"[4, 1, 6, 13, 23]"
800,1976.857142857143,13838.0,5,20329.26,"[5, 3, 6, 4, 13]"
850,1147.857142857143,8035.0,5,30898.025714285715,"[6, 21, 18, 9, 8]"
900,2173.5714285714284,15215.0,5,16621.86,"[0, 1, 18, 5, 13]"
950,94485.85714285714,661401.0,5,44657.834285714285,"[5, 27, 21, 8, 6]"
1000,13570.57142857143,94994.0,5,73448.58571428571,"[27, 7, 3, 0, 10]"
1050,38989.71428571428,272928.0,5,48682.61999999999,"[2, 5, 28, 8, 27]"
1100,12644.714285714286,88513.0,5,18404.16857142857,"[9, 19, 3, 18, 24]"
1150,47023.142857142855,329162.0,5,18789.89142857143,"[6, 4, 5, 20, 12]"
1200,53036.42857142857,371255.0,5,52941.77428571428,"[8, 21, 12, 14, 25]"
1250,1680.7142857142858,11765.0,5,19368.06285714286,"[8, 0, 5, 21, 2]"
1300,2852.4285714285716,19967.0,5,41541.474285714285,"[4, 25, 26, 14, 28]"
1350,7179.142857142857,50254.0,5,25600.874285714286,"[29, 24, 5, 25, 13]"
1400,63435.71428571428,444050.0,5,22889.779999999995,"[7, 15, 27, 11, 17]"
1450,14285.285714285714,99997.0,5,48081.99428571429,"[2, 15, 27, 28, 17]"
1500,3330.5714285714284,23314.0,5,66083.60857142857,"[18, 6, 23, 5, 3]"
1550,76769.14285714286,537384.0,5,32395.465714285714,"[28, 27, 5, 17, 26]"
1600,398954.28571428574,2792680.0,5,137048.66857142857,"[6, 26, 11, 27, 23]"
1650,23675.0,165725.0,5,29996.037142857145,"[0, 9, 26, 22, 29]"
1700,2636.1428571428573,18453.0,5,73332.48285714285,"[15, 1, 2, 16, 8]"
1750,50615.57142857143,354309.0,5,51826.025714285715,"[8, 24, 17, 7, 4]"
1800,3813.714285714286,26696.0,5,238548.1485714286,"[5, 10, 9, 14, 28]"
1850,4192.857142857143,29350.0,5,171142.2971428571,"[15, 3, 4, 13, 6]"
1900,128554.0,899878.0,5,63252.92571428572,"[22, 1, 27, 4, 6]"
1950,7087.428571428572,49612.0,5,158301.62857142856,"[9, 24, 6, 7, 29]"
2000,3788.8571428571427,26522.0,5,48605.76285714284,"[15, 8, 17, 21, 19]"
2050,4786.0,33502.0,5,38509.95142857143,"[1, 4, 13, 23, 20]"
2100,1425.0,9975.0,5,76731.80285714286,"[14, 7, 3, 21, 19]"
2150,6892.571428571428,48248.0,5,26367.785714285714,"[2, 9, 15, 4, 22]"
2200,1971.5714285714287,13801.0,5,68920.94,"[8, 13, 16, 3, 0]"
2250,98588.28571428571,690118.0,5,45886.74571428571,"[9, 13, 21, 27, 3]"
2300,5737.857142857143,40165.0,5,39785.68857142857,"[5, 9, 0, 17, 20]"
2350,3537.1428571428573,24760.0,5,74774.18285714285,"[28, 25, 5, 0, 26]"
2400,61466.142857142855,430263.0,5,45076.66857142857,"[0, 22, 27, 5, 13]"
2450,10070.285714285714,70492.0,5,67938.52,"[21, 20, 26, 16, 28]"
2500,156058.0,1092406.0,5,65002.317142857144,"[29, 27, 23, 22, 25]"
2550,4208.428571428572,29459.0,5,39011.997142857144,"[9, 3, 16, 0, 28]"
2600,21365.85714285714,149561.0,5,46073.70857142858,"[22, 0, 2, 26, 3]"
2650,4620.571428571428,32344.0,5,43710.74857142857,"[12, 15, 5, 7, 2]"
2700,4696.571428571428,32876.0,5,69278.53142857143,"[21, 15, 19, 20, 0]"
2750,21409.85714285714,149869.0,5,190863.14285714287,"[17, 16, 27, 9, 10]"
2800,10150.42857142857,71053.0,5,73081.72571428571,"[5, 17, 23, 26, 18]"
2850,11211.285714285714,78479.0,5,151050.86285714284,"[8, 15, 10, 0, 5]"
2900,118871.71428571429,832102.0,5,99867.47714285714,"[19, 7, 8, 4, 5]"
2950,66460.28571428571,465222.0,5,62829.422857142876,"[5, 13, 17, 19, 24]"
3000,3918.5714285714284,27430.0,5,26776.288571428573,"[17, 6, 23, 11, 1]"
3050,3869.285714285714,27085.0,5,39477.70285714286,"[23, 5, 8, 7, 11]"
3100,7391.0,51737.0,5,71882.5942857143,"[15, 17, 5, 16, 23]"
3150,1324.142857142857,9269.0,5,53930.56571428571,"[20, 8, 6, 2, 29]"
3200,150581.42857142858,1054070.0,5,47017.251428571435,"[18, 7, 11, 27, 20]"
3250,382463.4285714286,2677244.0,5,52985.83714285715,"[22, 24, 10, 16, 27]"
3300,3848.5714285714284,26940.0,5,63388.00285714286,"[3, 5, 0, 29, 17]"
3350,4269.142857142857,29884.0,5,102783.15714285715,"[23, 8, 15, 25, 19]"
3400,4422.857142857143,30960.0,5,119337.86571428571,"[22, 6, 2, 19, 18]"
3450,2989.0,20923.0,5,39076.357142857145,"[21, 24, 14, 5, 25]"
3500,12847.57142857143,89933.0,5,44762.92571428572,"[22, 17, 19, 13, 14]"
3550,3777.1428571428573,26440.0,5,75871.4857142857,"[14, 9, 4, 17, 7]"
3600,28314.14285714286,198199.0,5,61184.79999999999,"[24, 6, 9, 5, 17]"
3650,2481.0,17367.0,5,22898.59714285714,"[18, 14, 0, 15, 13]"
3700,164416.7142857143,1150917.0,5,154455.05142857143,"[29, 27, 15, 8, 28]"
3750,23003.714285714286,161026.0,5,92786.04,"[3, 27, 19, 1, 10]"
3800,6612.857142857143,46290.0,5,39935.72285714286,"[23, 10, 21, 1, 13]"
3850,909.1428571428571,6364.0,5,124072.22285714284,"[26, 11, 15, 3, 4]"
3900,231420.7142857143,1619945.0,5,25999.054285714286,"[23, 10, 8, 24, 29]"
3950,1942.7142857142858,13599.0,5,40193.62,"[1, 29, 3, 6, 19]"
4000,6516.857142857143,45618.0,5,81658.13714285714,"[23, 7, 25, 3, 28]"
4050,963.1428571428571,6742.0,5,53039.70571428571,"[11, 4, 26, 8, 21]"
4100,3019.1428571428573,21134.0,5,43380.614285714284,"[12, 0, 28, 9, 8]"
4150,10927.57142857143,76493.0,5,69720.51714285715,"[0, 10, 23, 28, 3]"
4200,1296141.7142857143,9072992.0,5,99264.07142857142,"[27, 24, 23, 15, 22]"
4250,4927.714285714285,34494.0,5,42066.154285714285,"[2, 23, 8, 28, 11]"
4300,4781.142857142857,33468.0,5,39095.70285714286,"[4, 8, 12, 16, 23]"
4350,72968.57142857143,510780.0,5,54706.67428571428,"[7, 27, 20, 11, 12]"
4400,211243.14285714287,1478702.0,5,30700.334285714285,"[27, 28, 4, 14, 8]"
4450,4082.4285714285716,28577.0,5,32276.334285714285,"[18, 0, 20, 8, 11]"
4500,25950.0,181650.0,5,58050.46571428571,"[0, 2, 13, 11, 9]"
4550,1585.5714285714287,11099.0,5,24016.811428571433,"[0, 8, 11, 17, 10]"
4600,2161.1428571428573,15128.0,5,19745.0,"[10, 1, 0, 7, 15]"
4650,1038.4285714285713,7269.0,5,33468.47714285715,"[5, 14, 9, 11, 2]"
4700,37232.142857142855,260625.0,5,25798.30285714286,"[13, 7, 10, 14, 5]"
4750,1847.5714285714287,12933.0,5,24148.488571428567,"[19, 0, 17, 6, 5]"
4800,33279.28571428572,232955.0,5,17184.114285714284,"[5, 23, 28, 9, 15]"
4850,13874.57142857143,97122.0,5,27002.237142857135,"[13, 26, 29, 4, 22]"
4900,4218.857142857143,29532.0,5,45412.914285714294,"[8, 10, 17, 1, 23]"
4950,2352.1428571428573,16465.0,5,26549.94,"[1, 17, 29, 10, 7]"
5000,1445.7142857142858,10120.0,5,35594.07428571428,"[1, 6, 29, 16, 5]"
5050,2667.8571428571427,18675.0,5,31837.525714285715,"[9, 14, 22, 7, 25]"
5100,25735.714285714286,180150.0,5,22144.95428571429,"[12, 1, 3, 11, 18]"
5150,283241.28571428574,1982689.0,5,31328.13142857143,"[27, 7, 22, 29, 26]"
5200,42937.0,300559.0,5,20121.88,"[2, 22, 7, 1, 28]"
5250,9611.714285714286,67282.0,5,26178.86285714286,"[18, 11, 23, 7, 28]"
5300,3631.4285714285716,25420.0,5,40151.88,"[18, 7, 17, 28, 12]"
5350,13834.857142857143,96844.0,5,38178.53428571429,"[12, 21, 7, 24, 9]"
5400,11409.0,79863.0,5,58137.46000000001,"[16, 0, 14, 7, 11]"
5450,9053.857142857143,63377.0,5,57141.53999999999,"[24, 4, 6, 11, 0]"
5500,22790.14285714286,159531.0,5,39871.402857142864,"[28, 15, 24, 21, 18]"
5550,12396.714285714286,86777.0,5,56731.84857142856,"[8, 5, 3, 24, 13]"
5600,6065.285714285715,42457.0,5,14477.422857142858,"[29, 28, 12, 15, 14]"
5650,4327.142857142857,30290.0,5,34815.554285714294,"[7, 3, 0, 9, 17]"
5700,1026.7142857142858,7187.0,5,44396.951428571425,"[6, 17, 14, 26, 5]"
5750,1529.142857142857,10704.0,5,49338.771428571425,"[24, 23, 3, 4, 1]"
5800,4603.142857142857,32222.0,5,28255.794285714288,"[6, 9, 15, 17, 2]"
5850,122124.42857142857,854871.0,5,23561.34571428572,"[27, 29, 22, 12, 16]"
5900,4725.571428571428,33079.0,5,99219.29714285716,"[2, 20, 10, 5, 23]"
5950,4958.0,34706.0,5,21847.74,"[26, 18, 1, 29, 7]"
6000,1302.857142857143,9120.0,5,20943.577142857146,"[11, 4, 2, 29, 17]"
6050,3749.285714285714,26245.0,5,24879.171428571426,"[14, 3, 18, 4, 19]"
6100,2677.8571428571427,18745.0,5,42717.04285714286,"[9, 22, 8, 23, 4]"
6150,3724.714285714286,26073.0,5,22313.254285714287,"[10, 12, 28, 29, 9]"
6200,13427.714285714286,93994.0,5,18621.814285714285,"[16, 17, 15, 24, 23]"
6250,5107.857142857143,35755.0,5,27058.991428571426,"[11, 24, 23, 3, 22]"
6300,7000.428571428572,49003.0,5,25748.72857142857,"[11, 17, 22, 18, 2]"
6350,53284.142857142855,372989.0,5,37390.66,"[26, 24, 15, 0, 14]"
6400,6255.714285714285,43790.0,5,70304.41428571429,"[11, 0, 5, 22, 15]"
6450,55677.142857142855,389740.0,5,31168.717142857146,"[16, 15, 24, 9, 6]"
6500,815630.8571428572,5709416.0,5,42599.05142857143,"[24, 10, 27, 17, 14]"
6550,4596.714285714285,32177.0,5,28136.45714285714,"[16, 1, 6, 19, 28]"
6600,8428.142857142857,58997.0,5,23124.571428571428,"[23, 13, 24, 16, 26]"
