episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage
6,1,play,128.0,4,3,"[""9H"", ""5C"", ""13S"", ""7S"", ""9C"", ""3C"", ""8C"", ""13H""]","[""9H"", ""5C"", ""13S"", ""7S"", ""9C"", ""3C"", ""8C"", ""13H""]","[""2H"", ""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""11H"", ""12H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""9D"", ""10D"", ""11D"", ""12D"", ""1C"", ""2C"", ""4C"", ""6C"", ""7C"", ""10C"", ""11C"", ""12C"", ""1S"", ""3S"", ""4S"", ""6S"", ""9S"", ""10S"", ""11S"", ""12S""]",-18.19398712158204
6,2,play,124.0,3,3,"[""13D"", ""5S"", ""2S"", ""8H"", ""10H"", ""13C"", ""8S"", ""1H""]","[""13D"", ""5S"", ""2S"", ""8H"", ""10H"", ""13C"", ""8S"", ""1H""]","[""3H"", ""4H"", ""5H"", ""6H"", ""11H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""7D"", ""9D"", ""10D"", ""11D"", ""12D"", ""1C"", ""2C"", ""4C"", ""6C"", ""7C"", ""10C"", ""11C"", ""12C"", ""1S"", ""3S"", ""4S"", ""6S"", ""10S""]",17.994646606445315
6,3,play,68.0,2,3,"[""7H"", ""6D"", ""11S"", ""12S"", ""9S"", ""12H"", ""8D"", ""2H""]","[""7H"", ""6D"", ""11S"", ""12S"", ""9S"", ""12H"", ""8D"", ""2H""]","[""4H"", ""5H"", ""6H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""7D"", ""9D"", ""10D"", ""12D"", ""2C"", ""4C"", ""7C"", ""11C"", ""12C"", ""1S"", ""4S"", ""6S""]",-69.24340957641601
6,4,play,124.0,1,3,"[""11H"", ""6C"", ""11D"", ""10C"", ""3S"", ""10S"", ""3H"", ""1C""]","[""11H"", ""6C"", ""11D"", ""10C"", ""3S"", ""10S"", ""3H"", ""1C""]","[""5H"", ""6H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""12D"", ""2C"", ""4C"", ""11C"", ""4S""]",26.911705093383773
6,5,play,48.0,0,3,"[""7C"", ""1S"", ""10D"", ""12C"", ""6S"", ""7D"", ""9D"", ""4H""]","[""7C"", ""1S"", ""10D"", ""12C"", ""6S"", ""7D"", ""9D"", ""4H""]","[""5H"", ""6H"", ""4C"", ""4S""]",-72.19194793701172
7,1,play,136.0,4,3,"[""13C"", ""11C"", ""13D"", ""11H"", ""9D"", ""7C"", ""12S"", ""7S""]","[""13C"", ""11C"", ""13D"", ""11H"", ""9D"", ""7C"", ""12S"", ""7S""]","[""1H"", ""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""9H"", ""10H"", ""12H"", ""13H"", ""1D"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""10D"", ""12D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""10C"", ""12C"", ""1S"", ""2S"", ""5S"", ""6S"", ""8S"", ""9S"", ""10S"", ""11S"", ""13S""]",-57.404832153320285
7,2,play,60.0,3,3,"[""9C"", ""2D"", ""3S"", ""4S"", ""3H"", ""11D"", ""2H"", ""8C""]","[""9C"", ""2D"", ""3S"", ""4S"", ""3H"", ""11D"", ""2H"", ""8C""]","[""1H"", ""4H"", ""5H"", ""7H"", ""8H"", ""10H"", ""12H"", ""13H"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""10D"", ""12D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""10C"", ""2S"", ""8S"", ""9S"", ""10S"", ""11S""]",-30.0882290649414
7,3,play,68.0,2,3,"[""13S"", ""5S"", ""6S"", ""6H"", ""1D"", ""12C"", ""9H"", ""1S""]","[""13S"", ""5S"", ""6S"", ""6H"", ""1D"", ""12C"", ""9H"", ""1S""]","[""1H"", ""5H"", ""7H"", ""10H"", ""12H"", ""13H"", ""4D"", ""5D"", ""6D"", ""7D"", ""10D"", ""2C"", ""4C"", ""5C"", ""6C"", ""10C"", ""2S"", ""8S"", ""9S"", ""11S""]",-37.69152465820309
7,4,play,84.0,1,3,"[""12D"", ""3D"", ""1C"", ""8D"", ""3C"", ""10S"", ""8H"", ""4H""]","[""12D"", ""3D"", ""1C"", ""8D"", ""3C"", ""10S"", ""8H"", ""4H""]","[""1H"", ""7H"", ""13H"", ""4D"", ""5D"", ""6D"", ""7D"", ""4C"", ""6C"", ""2S"", ""8S"", ""9S""]",-7.303804473876966
7,5,play,320.0,0,3,"[""5C"", ""2C"", ""11S"", ""10D"", ""10H"", ""5H"", ""12H"", ""10C""]","[""5C"", ""2C"", ""11S"", ""10D"", ""10H"", ""5H"", ""12H"", ""10C""]","[""7H"", ""4D"", ""7D"", ""9S""]",182.33042907714844
