episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage
14,2,play,24.0,3,3,"[""3S"", ""9C"", ""1D"", ""8D"", ""7H"", ""1S"", ""12D"", ""10S""]","[""3S"", ""9C"", ""1D"", ""8D"", ""7H"", ""1S"", ""12D"", ""10S""]","[""1H"", ""3H"", ""9H"", ""11H"", ""13H"", ""2D"", ""3D"", ""5D"", ""6D"", ""7D"", ""11D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""7C"", ""10C"", ""12C"", ""13C"", ""2S"", ""4S"", ""7S"", ""9S"", ""11S"", ""12S""]",-79.7095300292969
14,3,play,60.0,2,3,"[""12H"", ""13S"", ""6S"", ""5H"", ""10D"", ""10H"", ""8C"", ""11C""]","[""12H"", ""13S"", ""6S"", ""5H"", ""10D"", ""10H"", ""8C"", ""11C""]","[""1H"", ""3H"", ""9H"", ""11H"", ""2D"", ""3D"", ""5D"", ""6D"", ""7D"", ""11D"", ""13D"", ""3C"", ""4C"", ""5C"", ""10C"", ""2S"", ""4S"", ""7S"", ""9S"", ""12S""]",-92.08039703369138
14,4,play,300.0,1,3,"[""13C"", ""11S"", ""13H"", ""6C"", ""2C"", ""1C"", ""12C"", ""7C""]","[""13C"", ""11S"", ""13H"", ""6C"", ""2C"", ""1C"", ""12C"", ""7C""]","[""3H"", ""9H"", ""11H"", ""2D"", ""6D"", ""7D"", ""11D"", ""13D"", ""10C"", ""4S"", ""7S"", ""12S""]",161.84838371276857
14,5,play,180.0,0,3,"[""3D"", ""1H"", ""9S"", ""5C"", ""5D"", ""4C"", ""2S"", ""3C""]","[""3D"", ""1H"", ""9S"", ""5C"", ""5D"", ""4C"", ""2S"", ""3C""]","[""9H"", ""7D"", ""4S"", ""7S""]",91.35128021240234
15,1,play,144.0,4,3,"[""6H"", ""9S"", ""6S"", ""2H"", ""1S"", ""6D"", ""13S"", ""10D""]","[""6H"", ""9S"", ""6S"", ""2H"", ""1S"", ""6D"", ""13S"", ""10D""]","[""1H"", ""7H"", ""8H"", ""9H"", ""10H"", ""11H"", ""12H"", ""13H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""7D"", ""8D"", ""11D"", ""12D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""8C"", ""9C"", ""11C"", ""12C"", ""13C"", ""2S"", ""3S"", ""4S"", ""7S"", ""10S"", ""11S"", ""12S""]",28.533562011718686
15,2,play,40.0,3,3,"[""9D"", ""8S"", ""5S"", ""5H"", ""10C"", ""4H"", ""7C"", ""3H""]","[""9D"", ""8S"", ""5S"", ""5H"", ""10C"", ""4H"", ""7C"", ""3H""]","[""1H"", ""7H"", ""8H"", ""9H"", ""10H"", ""12H"", ""13H"", ""1D"", ""2D"", ""3D"", ""5D"", ""7D"", ""8D"", ""11D"", ""13D"", ""1C"", ""3C"", ""4C"", ""6C"", ""8C"", ""11C"", ""12C"", ""13C"", ""2S"", ""4S"", ""10S"", ""11S"", ""12S""]",-94.39433258056641
15,3,play,17.0,2,3,"[""2C"", ""5C"", ""3S"", ""7S"", ""12D"", ""11H"", ""9C"", ""4D""]","[""2C"", ""5C"", ""3S"", ""7S"", ""12D"", ""11H"", ""9C"", ""4D""]","[""7H"", ""8H"", ""9H"", ""12H"", ""2D"", ""3D"", ""7D"", ""11D"", ""13D"", ""1C"", ""3C"", ""4C"", ""6C"", ""8C"", ""11C"", ""12C"", ""13C"", ""4S"", ""11S"", ""12S""]",-101.42600708007814
15,4,play,84.0,1,3,"[""10S"", ""1H"", ""5D"", ""8D"", ""13H"", ""10H"", ""2S"", ""1D""]","[""10S"", ""1H"", ""5D"", ""8D"", ""13H"", ""10H"", ""2S"", ""1D""]","[""7H"", ""8H"", ""3D"", ""7D"", ""4C"", ""6C"", ""11C"", ""12C"", ""13C"", ""4S"", ""11S"", ""12S""]",-21.099141845703116
15,5,play,18.0,0,3,"[""11D"", ""2D"", ""3C"", ""8C"", ""1C"", ""13D"", ""9H"", ""12H""]","[""11D"", ""2D"", ""3C"", ""8C"", ""1C"", ""13D"", ""9H"", ""12H""]","[""7H"", ""3D"", ""4C"", ""12S""]",-98.3228759765625
16,1,play,32.0,4,3,"[""8D"", ""3D"", ""3C"", ""9C"", ""1D"", ""6C"", ""4D"", ""10H""]","[""8D"", ""3D"", ""3C"", ""9C"", ""1D"", ""6C"", ""4D"", ""10H""]","[""1H"", ""2H"", ""3H"", ""6H"", ""8H"", ""9H"", ""11H"", ""13H"", ""2D"", ""6D"", ""7D"", ""9D"", ""10D"", ""11D"", ""12D"", ""13D"", ""2C"", ""4C"", ""5C"", ""7C"", ""8C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""2S"", ""3S"", ""4S"", ""6S"", ""8S"", ""9S"", ""10S"", ""11S"", ""12S"", ""13S""]",-89.92686187744141
16,2,play,276.0,3,3,"[""1C"", ""5S"", ""12H"", ""5D"", ""7S"", ""7H"", ""5H"", ""4H""]","[""1C"", ""5S"", ""12H"", ""5D"", ""7S"", ""7H"", ""5H"", ""4H""]","[""1H"", ""2H"", ""6H"", ""8H"", ""9H"", ""11H"", ""13H"", ""2D"", ""9D"", ""10D"", ""11D"", ""13D"", ""2C"", ""4C"", ""7C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""2S"", ""4S"", ""6S"", ""8S"", ""10S"", ""11S"", ""12S"", ""13S""]",175.69066009521487
16,3,play,260.0,2,3,"[""12D"", ""9S"", ""6D"", ""5C"", ""8C"", ""7D"", ""3H"", ""3S""]","[""12D"", ""9S"", ""6D"", ""5C"", ""8C"", ""7D"", ""3H"", ""3S""]","[""1H"", ""6H"", ""9H"", ""13H"", ""2D"", ""9D"", ""10D"", ""11D"", ""13D"", ""4C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""4S"", ""6S"", ""11S"", ""12S"", ""13S""]",139.3964878845215
16,4,play,248.0,1,3,"[""10S"", ""2S"", ""8S"", ""7C"", ""2C"", ""2H"", ""11H"", ""8H""]","[""10S"", ""2S"", ""8S"", ""7C"", ""2C"", ""2H"", ""11H"", ""8H""]","[""13H"", ""2D"", ""10D"", ""11D"", ""13D"", ""4C"", ""10C"", ""4S"", ""6S"", ""11S"", ""12S"", ""13S""]",141.0050779724121
16,5,play,80.0,0,3,"[""6H"", ""13C"", ""9D"", ""1S"", ""1H"", ""12C"", ""11C"", ""9H""]","[""6H"", ""13C"", ""9D"", ""1S"", ""1H"", ""12C"", ""11C"", ""9H""]","[""13H"", ""4S"", ""11S"", ""13S""]",-61.08766174316406
17,1,play,60.0,4,3,"[""4C"", ""10D"", ""1D"", ""7D"", ""3D"", ""2C"", ""10H"", ""12C""]","[""4C"", ""10D"", ""1D"", ""7D"", ""3D"", ""2C"", ""10H"", ""12C""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""9H"", ""11H"", ""13H"", ""4D"", ""5D"", ""6D"", ""8D"", ""11D"", ""12D"", ""13D"", ""1C"", ""3C"", ""5C"", ""6C"", ""7C"", ""8C"", ""10C"", ""11C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""8S"", ""9S"", ""10S"", ""11S"", ""13S""]",-28.059537658691397
17,2,play,124.0,3,3,"[""9D"", ""2D"", ""12S"", ""12H"", ""9C"", ""7S"", ""13C"", ""6H""]","[""9D"", ""2D"", ""12S"", ""12H"", ""9C"", ""7S"", ""13C"", ""6H""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""8H"", ""11H"", ""13H"", ""5D"", ""6D"", ""8D"", ""11D"", ""12D"", ""13D"", ""1C"", ""5C"", ""7C"", ""11C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""8S"", ""9S"", ""10S"", ""11S""]",-23.659141540527344
17,3,play,280.0,2,3,"[""8C"", ""13S"", ""6C"", ""4D"", ""10C"", ""9H"", ""7H"", ""3C""]","[""8C"", ""13S"", ""6C"", ""4D"", ""10C"", ""9H"", ""7H"", ""3C""]","[""1H"", ""2H"", ""4H"", ""8H"", ""11H"", ""13H"", ""5D"", ""6D"", ""11D"", ""12D"", ""13D"", ""7C"", ""11C"", ""1S"", ""3S"", ""5S"", ""6S"", ""8S"", ""9S"", ""10S""]",126.71713470458985
17,4,play,180.0,1,3,"[""1C"", ""5H"", ""4S"", ""5C"", ""3H"", ""11S"", ""2S"", ""8D""]","[""1C"", ""5H"", ""4S"", ""5C"", ""3H"", ""11S"", ""2S"", ""8D""]","[""1H"", ""2H"", ""5D"", ""6D"", ""11D"", ""12D"", ""13D"", ""7C"", ""11C"", ""5S"", ""6S"", ""8S""]",115.86356170654301
17,5,play,18.0,0,3,"[""10S"", ""1S"", ""9S"", ""3S"", ""13H"", ""8H"", ""11H"", ""4H""]","[""10S"", ""1S"", ""9S"", ""3S"", ""13H"", ""8H"", ""11H"", ""4H""]","[""2H"", ""6D"", ""7C"", ""6S""]",-115.08963012695312
18,1,play,72.0,4,3,"[""13D"", ""10H"", ""3H"", ""6S"", ""4S"", ""6H"", ""2S"", ""2C""]","[""13D"", ""10H"", ""3H"", ""6S"", ""4S"", ""6H"", ""2S"", ""2C""]","[""1H"", ""4H"", ""7H"", ""8H"", ""9H"", ""11H"", ""12H"", ""13H"", ""1D"", ""2D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""1C"", ""3C"", ""4C"", ""7C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""3S"", ""7S"", ""8S"", ""9S"", ""10S"", ""11S"", ""12S""]",-37.581932067871094
18,2,play,135.0,3,3,"[""5H"", ""11D"", ""13S"", ""5S"", ""3D"", ""5C"", ""2H"", ""6C""]","[""5H"", ""11D"", ""13S"", ""5S"", ""3D"", ""5C"", ""2H"", ""6C""]","[""4H"", ""7H"", ""8H"", ""9H"", ""11H"", ""12H"", ""13H"", ""1D"", ""2D"", ""4D"", ""5D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""1C"", ""7C"", ""8C"", ""10C"", ""11C"", ""12C"", ""1S"", ""7S"", ""8S"", ""9S"", ""10S"", ""12S""]",23.567873840332027
18,3,play,32.0,2,3,"[""1H"", ""3C"", ""11S"", ""9C"", ""3S"", ""13C"", ""4C"", ""6D""]","[""1H"", ""3C"", ""11S"", ""9C"", ""3S"", ""13C"", ""4C"", ""6D""]","[""4H"", ""8H"", ""12H"", ""1D"", ""2D"", ""4D"", ""5D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""1C"", ""7C"", ""10C"", ""12C"", ""1S"", ""7S"", ""9S"", ""10S""]",-42.83170440673831
18,4,play,116.0,1,3,"[""9H"", ""13H"", ""8C"", ""11H"", ""12S"", ""11C"", ""8S"", ""7H""]","[""9H"", ""13H"", ""8C"", ""11H"", ""12S"", ""11C"", ""8S"", ""7H""]","[""8H"", ""1D"", ""2D"", ""5D"", ""7D"", ""9D"", ""12D"", ""1C"", ""12C"", ""1S"", ""7S"", ""10S""]",-39.29394050598145
18,5,play,96.0,0,3,"[""9S"", ""8D"", ""12H"", ""4D"", ""7C"", ""10C"", ""10D"", ""4H""]","[""9S"", ""8D"", ""12H"", ""4D"", ""7C"", ""10C"", ""10D"", ""4H""]","[""8H"", ""1S"", ""7S"", ""10S""]",-30.806922912597656
19,1,play,120.0,4,3,"[""12D"", ""1D"", ""9H"", ""12S"", ""8C"", ""5C"", ""8H"", ""5H""]","[""12D"", ""1D"", ""9H"", ""12S"", ""8C"", ""5C"", ""8H"", ""5H""]","[""2H"", ""3H"", ""4H"", ""6H"", ""7H"", ""10H"", ""11H"", ""12H"", ""13H"", ""4D"", ""7D"", ""9D"", ""10D"", ""11D"", ""13D"", ""1C"", ""3C"", ""4C"", ""6C"", ""7C"", ""9C"", ""10C"", ""11C"", ""13C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""8S"", ""9S"", ""10S"", ""11S"", ""13S""]",-24.51929534912108
19,2,play,236.0,3,3,"[""6D"", ""12C"", ""3D"", ""5D"", ""2D"", ""8D"", ""1H"", ""2C""]","[""6D"", ""12C"", ""3D"", ""5D"", ""2D"", ""8D"", ""1H"", ""2C""]","[""2H"", ""3H"", ""4H"", ""10H"", ""4D"", ""7D"", ""9D"", ""10D"", ""11D"", ""13D"", ""1C"", ""3C"", ""4C"", ""6C"", ""7C"", ""9C"", ""10C"", ""11C"", ""13C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""7S"", ""8S"", ""11S"", ""13S""]",171.26868713378906
19,3,play,340.0,2,3,"[""12H"", ""6S"", ""11H"", ""10S"", ""9S"", ""6H"", ""7H"", ""13H""]","[""12H"", ""6S"", ""11H"", ""10S"", ""9S"", ""6H"", ""7H"", ""13H""]","[""2H"", ""3H"", ""4H"", ""7D"", ""9D"", ""11D"", ""1C"", ""4C"", ""9C"", ""10C"", ""11C"", ""13C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""7S"", ""11S"", ""13S""]",180.60630371093748
19,4,play,60.0,1,3,"[""3C"", ""10D"", ""6C"", ""4D"", ""7C"", ""13D"", ""10H"", ""8S""]","[""3C"", ""10D"", ""6C"", ""4D"", ""7C"", ""13D"", ""10H"", ""8S""]","[""2H"", ""3H"", ""9D"", ""11D"", ""4C"", ""9C"", ""10C"", ""13C"", ""1S"", ""2S"", ""4S"", ""11S""]",-76.22176841735842
19,5,play,48.0,0,3,"[""5S"", ""4H"", ""13S"", ""7D"", ""11C"", ""7S"", ""3S"", ""1C""]","[""5S"", ""4H"", ""13S"", ""7D"", ""11C"", ""7S"", ""3S"", ""1C""]","[""3H"", ""11D"", ""4C"", ""4S""]",-56.72612762451172
20,1,play,284.0,4,3,"[""10S"", ""12D"", ""12S"", ""11D"", ""2D"", ""4D"", ""3D"", ""6D""]","[""10S"", ""12D"", ""12S"", ""11D"", ""2D"", ""4D"", ""3D"", ""6D""]","[""1H"", ""2H"", ""4H"", ""5H"", ""6H"", ""7H"", ""9H"", ""10H"", ""11H"", ""12H"", ""5D"", ""7D"", ""8D"", ""9D"", ""10D"", ""13D"", ""2C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""13C"", ""1S"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""11S"", ""13S""]",152.62647857666013
20,2,play,84.0,3,3,"[""1C"", ""1D"", ""8H"", ""8S"", ""13H"", ""3H"", ""3C"", ""9S""]","[""1C"", ""1D"", ""8H"", ""8S"", ""13H"", ""3H"", ""3C"", ""9S""]","[""1H"", ""4H"", ""6H"", ""7H"", ""9H"", ""5D"", ""7D"", ""9D"", ""10D"", ""13D"", ""2C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""10C"", ""11C"", ""12C"", ""13C"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""11S"", ""13S""]",-6.4645471191406045
20,3,play,320.0,2,3,"[""10H"", ""12H"", ""1S"", ""9C"", ""8D"", ""11H"", ""5H"", ""2H""]","[""10H"", ""12H"", ""1S"", ""9C"", ""8D"", ""11H"", ""5H"", ""2H""]","[""4H"", ""6H"", ""7H"", ""9H"", ""5D"", ""7D"", ""9D"", ""2C"", ""4C"", ""6C"", ""7C"", ""8C"", ""10C"", ""12C"", ""2S"", ""3S"", ""4S"", ""6S"", ""7S"", ""13S""]",190.74819351196288
20,4,play,136.0,1,3,"[""1H"", ""13C"", ""5C"", ""10D"", ""5S"", ""11C"", ""13D"", ""11S""]","[""1H"", ""13C"", ""5C"", ""10D"", ""5S"", ""11C"", ""13D"", ""11S""]","[""7H"", ""9H"", ""7D"", ""2C"", ""4C"", ""6C"", ""7C"", ""8C"", ""10C"", ""2S"", ""3S"", ""13S""]",14.72675384521483
20,5,play,80.0,0,3,"[""6S"", ""6H"", ""5D"", ""7S"", ""9D"", ""12C"", ""4H"", ""4S""]","[""6S"", ""6H"", ""5D"", ""7S"", ""9D"", ""12C"", ""4H"", ""4S""]","[""7H"", ""4C"", ""10C"", ""13S""]",-44.924407958984375
21,1,play,68.0,4,3,"[""10H"", ""1D"", ""13H"", ""12D"", ""12H"", ""2S"", ""6H"", ""11D""]","[""10H"", ""1D"", ""13H"", ""12D"", ""12H"", ""2S"", ""6H"", ""11D""]","[""1H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""11H"", ""2D"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""8D"", ""9D"", ""10D"", ""13D"", ""2C"", ""4C"", ""6C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""1S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""8S"", ""9S"", ""10S"", ""12S"", ""13S""]",-70.18815551757814
21,2,play,256.0,3,3,"[""11S"", ""13C"", ""3C"", ""1C"", ""9H"", ""7C"", ""2H"", ""5C""]","[""11S"", ""13C"", ""3C"", ""1C"", ""9H"", ""7C"", ""2H"", ""5C""]","[""1H"", ""4H"", ""5H"", ""7H"", ""11H"", ""2D"", ""4D"", ""6D"", ""7D"", ""8D"", ""9D"", ""10D"", ""13D"", ""2C"", ""4C"", ""6C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""3S"", ""4S"", ""7S"", ""8S"", ""9S"", ""10S"", ""13S""]",150.26971893310542
21,3,play,72.0,2,3,"[""3H"", ""5D"", ""5S"", ""8H"", ""3D"", ""1S"", ""6S"", ""12S""]","[""3H"", ""5D"", ""5S"", ""8H"", ""3D"", ""1S"", ""6S"", ""12S""]","[""1H"", ""7H"", ""11H"", ""2D"", ""4D"", ""7D"", ""9D"", ""10D"", ""2C"", ""6C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""4S"", ""7S"", ""8S"", ""9S"", ""13S""]",-25.83693450927734
21,4,play,36.0,1,3,"[""4H"", ""4C"", ""13D"", ""5H"", ""3S"", ""8D"", ""10S"", ""6D""]","[""4H"", ""4C"", ""13D"", ""5H"", ""3S"", ""8D"", ""10S"", ""6D""]","[""1H"", ""2D"", ""9D"", ""2C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""7S"", ""8S"", ""9S""]",-77.506902923584
21,5,play,84.0,0,3,"[""11H"", ""10D"", ""13S"", ""6C"", ""7H"", ""4S"", ""4D"", ""7D""]","[""11H"", ""10D"", ""13S"", ""6C"", ""7H"", ""4S"", ""4D"", ""7D""]","[""1H"", ""10C"", ""12C"", ""9S""]",-64.91569519042969
22,1,play,68.0,4,3,"[""6D"", ""1H"", ""5S"", ""6H"", ""13C"", ""9H"", ""1C"", ""11H""]","[""6D"", ""1H"", ""5S"", ""6H"", ""13C"", ""9H"", ""1C"", ""11H""]","[""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""12H"", ""13H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""7D"", ""8D"", ""9D"", ""11D"", ""12D"", ""3C"", ""4C"", ""5C"", ""7C"", ""8C"", ""10C"", ""11C"", ""12C"", ""1S"", ""2S"", ""3S"", ""4S"", ""6S"", ""8S"", ""9S"", ""10S"", ""12S"", ""13S""]",-35.08703826904298
22,2,play,60.0,3,3,"[""9C"", ""10D"", ""11S"", ""2C"", ""10H"", ""13D"", ""6C"", ""7S""]","[""9C"", ""10D"", ""11S"", ""2C"", ""10H"", ""13D"", ""6C"", ""7S""]","[""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""12H"", ""1D"", ""2D"", ""3D"", ""5D"", ""7D"", ""8D"", ""9D"", ""11D"", ""12D"", ""8C"", ""11C"", ""12C"", ""1S"", ""2S"", ""3S"", ""4S"", ""6S"", ""9S"", ""10S"", ""12S"", ""13S""]",-88.38727508544923
22,3,play,256.0,2,3,"[""10C"", ""5C"", ""8S"", ""4C"", ""13H"", ""4D"", ""3C"", ""7C""]","[""10C"", ""5C"", ""8S"", ""4C"", ""13H"", ""4D"", ""3C"", ""7C""]","[""2H"", ""3H"", ""4H"", ""5H"", ""1D"", ""2D"", ""3D"", ""5D"", ""8D"", ""12D"", ""8C"", ""11C"", ""12C"", ""2S"", ""3S"", ""4S"", ""6S"", ""9S"", ""12S"", ""13S""]",163.58888412475585
22,4,play,320.0,1,3,"[""10S"", ""1S"", ""9D"", ""7H"", ""11D"", ""7D"", ""12H"", ""8H""]","[""10S"", ""1S"", ""9D"", ""7H"", ""11D"", ""7D"", ""12H"", ""8H""]","[""2H"", ""3H"", ""4H"", ""1D"", ""2D"", ""5D"", ""8D"", ""12D"", ""2S"", ""3S"", ""6S"", ""12S""]",167.44566581726076
22,5,play,18.0,0,3,"[""4S"", ""5H"", ""8C"", ""11C"", ""9S"", ""13S"", ""3D"", ""12C""]","[""4S"", ""5H"", ""8C"", ""11C"", ""9S"", ""13S"", ""3D"", ""12C""]","[""2H"", ""4H"", ""2S"", ""3S""]",-77.59073638916016
23,1,play,88.0,4,3,"[""7C"", ""6S"", ""10C"", ""5S"", ""13D"", ""7S"", ""11S"", ""5H""]","[""7C"", ""6S"", ""10C"", ""5S"", ""13D"", ""7S"", ""11S"", ""5H""]","[""1H"", ""2H"", ""3H"", ""4H"", ""6H"", ""7H"", ""8H"", ""10H"", ""11H"", ""13H"", ""3D"", ""4D"", ""5D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""8C"", ""9C"", ""11C"", ""1S"", ""2S"", ""3S"", ""4S"", ""8S"", ""9S"", ""10S"", ""12S"", ""13S""]",-56.73202636718747
23,2,play,68.0,3,3,"[""12H"", ""13C"", ""11D"", ""6D"", ""12C"", ""9H"", ""1D"", ""2D""]","[""12H"", ""13C"", ""11D"", ""6D"", ""12C"", ""9H"", ""1D"", ""2D""]","[""1H"", ""2H"", ""3H"", ""4H"", ""7H"", ""8H"", ""10H"", ""11H"", ""5D"", ""7D"", ""8D"", ""9D"", ""10D"", ""12D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""8C"", ""9C"", ""11C"", ""2S"", ""3S"", ""4S"", ""9S"", ""10S"", ""12S""]",-70.55852233886719
23,3,play,116.0,2,3,"[""3D"", ""13H"", ""8S"", ""1S"", ""4D"", ""6H"", ""13S"", ""6C""]","[""3D"", ""13H"", ""8S"", ""1S"", ""4D"", ""6H"", ""13S"", ""6C""]","[""1H"", ""2H"", ""4H"", ""7H"", ""8H"", ""11H"", ""7D"", ""10D"", ""12D"", ""2C"", ""3C"", ""5C"", ""8C"", ""9C"", ""11C"", ""2S"", ""3S"", ""4S"", ""9S"", ""12S""]",11.966002349853511
23,4,play,60.0,1,3,"[""8D"", ""1C"", ""9D"", ""10H"", ""5D"", ""10S"", ""3H"", ""4C""]","[""8D"", ""1C"", ""9D"", ""10H"", ""5D"", ""10S"", ""3H"", ""4C""]","[""2H"", ""7H"", ""11H"", ""7D"", ""10D"", ""12D"", ""2C"", ""8C"", ""9C"", ""2S"", ""3S"", ""4S""]",-50.04322975158692
23,5,play,17.0,0,3,"[""3C"", ""4H"", ""5C"", ""11C"", ""8H"", ""1H"", ""12S"", ""9S""]","[""3C"", ""4H"", ""5C"", ""11C"", ""8H"", ""12S"", ""9S""]","[""2H"", ""7H"", ""12D"", ""2C"", ""3S""]",-92.47663116455078
24,1,play,64.0,4,3,"[""2H"", ""4S"", ""4H"", ""8S"", ""1S"", ""2C"", ""3C"", ""13S""]","[""2H"", ""4S"", ""4H"", ""8S"", ""1S"", ""2C"", ""3C"", ""13S""]","[""1H"", ""3H"", ""5H"", ""6H"", ""8H"", ""9H"", ""10H"", ""11H"", ""12H"", ""13H"", ""2D"", ""3D"", ""4D"", ""6D"", ""8D"", ""9D"", ""10D"", ""11D"", ""13D"", ""1C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""10C"", ""11C"", ""12C"", ""13C"", ""2S"", ""5S"", ""6S"", ""7S"", ""9S"", ""11S""]",5.74211090087897
24,2,play,116.0,3,3,"[""7H"", ""1D"", ""10S"", ""12D"", ""7D"", ""12S"", ""3S"", ""5D""]","[""7H"", ""1D"", ""10S"", ""12D"", ""7D"", ""12S"", ""3S"", ""5D""]","[""1H"", ""3H"", ""6H"", ""8H"", ""9H"", ""10H"", ""13H"", ""2D"", ""3D"", ""4D"", ""6D"", ""9D"", ""10D"", ""13D"", ""1C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""11C"", ""12C"", ""2S"", ""5S"", ""6S"", ""7S"", ""9S"", ""11S""]",5.762668151855451
24,3,play,64.0,2,3,"[""13C"", ""11D"", ""11H"", ""8D"", ""5H"", ""12H"", ""10C"", ""4C""]","[""13C"", ""11D"", ""11H"", ""8D"", ""5H"", ""12H"", ""10C"", ""4C""]","[""3H"", ""6H"", ""8H"", ""9H"", ""10H"", ""13H"", ""2D"", ""3D"", ""4D"", ""6D"", ""9D"", ""10D"", ""1C"", ""6C"", ""7C"", ""8C"", ""9C"", ""12C"", ""2S"", ""5S""]",-80.41460189819338
24,4,play,64.0,1,3,"[""9S"", ""11C"", ""13D"", ""11S"", ""6S"", ""1H"", ""7S"", ""5C""]","[""9S"", ""11C"", ""13D"", ""11S"", ""6S"", ""1H"", ""7S"", ""5C""]","[""3H"", ""6H"", ""8H"", ""13H"", ""3D"", ""4D"", ""9D"", ""10D"", ""1C"", ""8C"", ""2S"", ""5S""]",-57.19710189819335
24,5,play,100.0,0,3,"[""9C"", ""7C"", ""2D"", ""9H"", ""10H"", ""12C"", ""6C"", ""6D""]","[""9C"", ""7C"", ""2D"", ""9H"", ""10H"", ""12C"", ""6C"", ""6D""]","[""8H"", ""13H"", ""3D"", ""5S""]",-34.37693786621094
25,1,play,396.0,4,3,"[""11S"", ""11C"", ""4D"", ""13D"", ""6H"", ""13C"", ""11H"", ""5C""]","[""11S"", ""11C"", ""4D"", ""13D"", ""6H"", ""13C"", ""11H"", ""5C""]","[""2H"", ""4H"", ""5H"", ""7H"", ""8H"", ""9H"", ""10H"", ""12H"", ""13H"", ""1D"", ""2D"", ""3D"", ""5D"", ""6D"", ""7D"", ""9D"", ""10D"", ""11D"", ""12D"", ""2C"", ""3C"", ""4C"", ""6C"", ""7C"", ""9C"", ""1S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""8S"", ""9S"", ""10S"", ""12S"", ""13S""]",244.31293426513673
25,2,play,76.0,3,3,"[""10C"", ""2S"", ""1H"", ""8C"", ""8D"", ""1C"", ""12C"", ""3H""]","[""10C"", ""2S"", ""1H"", ""8C"", ""8D"", ""1C"", ""12C"", ""3H""]","[""4H"", ""5H"", ""7H"", ""9H"", ""10H"", ""12H"", ""13H"", ""1D"", ""3D"", ""5D"", ""6D"", ""7D"", ""9D"", ""10D"", ""11D"", ""12D"", ""3C"", ""4C"", ""6C"", ""7C"", ""1S"", ""3S"", ""4S"", ""5S"", ""6S"", ""8S"", ""12S"", ""13S""]",-17.24953674316407
25,3,play,256.0,2,3,"[""7S"", ""9C"", ""2D"", ""2H"", ""2C"", ""10S"", ""9S"", ""8H""]","[""7S"", ""9C"", ""2D"", ""2H"", ""2C"", ""10S"", ""9S"", ""8H""]","[""4H"", ""5H"", ""7H"", ""10H"", ""12H"", ""13H"", ""1D"", ""5D"", ""6D"", ""9D"", ""11D"", ""12D"", ""3C"", ""4C"", ""1S"", ""4S"", ""5S"", ""8S"", ""12S"", ""13S""]",141.12780303955077
