episode,hand,played_cards,discarded_cards,selected_cards,reward
77,"[(12, 'S'), (2, 'H'), (4, 'C'), (4, 'S'), (9, 'D'), (9, 'S'), (5, 'H'), (11, 'C')]","[(7, 'D'), (3, 'D'), (1, 'S'), (5, 'S'), (4, 'H'), (3, 'H'), (7, 'H'), (5, 'C'), (10, 'D'), (8, 'H'), (6, 'C'), (1, 'D')]",[],"[(12, 'S'), (4, 'S'), (9, 'D'), (9, 'S'), (11, 'C')]",56.0
78,"[(12, 'D'), (3, 'D'), (3, 'S'), (4, 'S'), (10, 'H'), (12, 'H'), (9, 'D'), (4, 'C')]",[],[],"[(12, 'D'), (3, 'S'), (10, 'H'), (12, 'H')]",68.0
78,"[(3, 'D'), (4, 'S'), (9, 'D'), (4, 'C'), (6, 'C'), (9, 'H'), (7, 'H'), (10, 'S')]","[(12, 'D'), (3, 'S'), (10, 'H'), (12, 'H')]",[],"[(3, 'D'), (4, 'C'), (6, 'C'), (7, 'H'), (10, 'S')]",15.0
78,"[(4, 'S'), (9, 'D'), (9, 'H'), (9, 'S'), (10, 'C'), (5, 'C'), (3, 'H'), (13, 'H')]","[(12, 'D'), (3, 'S'), (10, 'H'), (12, 'H'), (3, 'D'), (4, 'C'), (6, 'C'), (7, 'H'), (10, 'S')]",[],"[(9, 'D'), (9, 'H'), (9, 'S')]",171.0
78,"[(4, 'S'), (10, 'C'), (5, 'C'), (3, 'H'), (13, 'H'), (11, 'C'), (1, 'D'), (11, 'S')]","[(12, 'D'), (3, 'S'), (10, 'H'), (12, 'H'), (3, 'D'), (4, 'C'), (6, 'C'), (7, 'H'), (10, 'S'), (9, 'D'), (9, 'H'), (9, 'S')]",[],"[(4, 'S'), (10, 'C')]",15.0
78,"[(5, 'C'), (3, 'H'), (13, 'H'), (11, 'C'), (1, 'D'), (11, 'S'), (5, 'H'), (8, 'D')]","[(12, 'D'), (3, 'S'), (10, 'H'), (12, 'H'), (3, 'D'), (4, 'C'), (6, 'C'), (7, 'H'), (10, 'S'), (9, 'D'), (9, 'H'), (9, 'S'), (4, 'S'), (10, 'C')]",[],"[(5, 'C')]",32.0
78,"[(3, 'H'), (13, 'H'), (11, 'C'), (1, 'D'), (11, 'S'), (5, 'H'), (8, 'D'), (13, 'D')]","[(12, 'D'), (3, 'S'), (10, 'H'), (12, 'H'), (3, 'D'), (4, 'C'), (6, 'C'), (7, 'H'), (10, 'S'), (9, 'D'), (9, 'H'), (9, 'S'), (4, 'S'), (10, 'C')]","[(5, 'C')]","[(3, 'H'), (13, 'H')]",18.0
79,"[(12, 'S'), (3, 'H'), (12, 'C'), (1, 'S'), (11, 'D'), (13, 'S'), (9, 'S'), (6, 'C')]",[],[],"[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S')]",68.0
79,"[(3, 'H'), (1, 'S'), (6, 'C'), (7, 'D'), (5, 'D'), (12, 'D'), (1, 'D'), (8, 'S')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S')]",[],"[(3, 'H'), (1, 'S'), (6, 'C'), (7, 'D')]",12.0
79,"[(5, 'D'), (12, 'D'), (1, 'D'), (8, 'S'), (2, 'S'), (1, 'H'), (6, 'S'), (2, 'H')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S'), (3, 'H'), (1, 'S'), (6, 'C'), (7, 'D')]",[],"[(5, 'D'), (12, 'D'), (1, 'D')]",17.0
79,"[(8, 'S'), (2, 'S'), (1, 'H'), (6, 'S'), (2, 'H'), (4, 'D'), (3, 'C'), (13, 'C')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S'), (3, 'H'), (1, 'S'), (6, 'C'), (7, 'D'), (5, 'D'), (12, 'D'), (1, 'D')]",[],"[(8, 'S')]",47.0
79,"[(2, 'S'), (1, 'H'), (6, 'S'), (2, 'H'), (4, 'D'), (3, 'C'), (13, 'C'), (13, 'D')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S'), (3, 'H'), (1, 'S'), (6, 'C'), (7, 'D'), (5, 'D'), (12, 'D'), (1, 'D')]","[(8, 'S')]","[(2, 'S'), (1, 'H')]",0.0
79,"[(6, 'S'), (2, 'H'), (4, 'D'), (3, 'C'), (13, 'C'), (13, 'D'), (10, 'S'), (9, 'C')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S'), (3, 'H'), (1, 'S'), (6, 'C'), (7, 'D'), (5, 'D'), (12, 'D'), (1, 'D')]","[(8, 'S'), (2, 'S'), (1, 'H')]","[(6, 'S'), (4, 'D'), (3, 'C'), (13, 'C')]",18.0
79,"[(2, 'H'), (13, 'D'), (10, 'S'), (9, 'C'), (7, 'S'), (4, 'H'), (9, 'D'), (13, 'H')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S'), (3, 'H'), (1, 'S'), (6, 'C'), (7, 'D'), (5, 'D'), (12, 'D'), (1, 'D'), (6, 'S'), (4, 'D'), (3, 'C'), (13, 'C')]","[(8, 'S'), (2, 'S'), (1, 'H')]","[(2, 'H')]",0.0
79,"[(13, 'D'), (10, 'S'), (9, 'C'), (7, 'S'), (4, 'H'), (9, 'D'), (13, 'H'), (8, 'H')]","[(12, 'S'), (12, 'C'), (11, 'D'), (13, 'S'), (9, 'S'), (3, 'H'), (1, 'S'), (6, 'C'), (7, 'D'), (5, 'D'), (12, 'D'), (1, 'D'), (6, 'S'), (4, 'D'), (3, 'C'), (13, 'C')]","[(8, 'S'), (2, 'S'), (1, 'H'), (2, 'H')]","[(13, 'D')]",18.0
80,"[(6, 'D'), (7, 'D'), (8, 'C'), (9, 'S'), (6, 'S'), (9, 'C'), (5, 'C'), (12, 'S')]",[],[],"[(6, 'D'), (7, 'D')]",12.0
80,"[(8, 'C'), (9, 'S'), (6, 'S'), (9, 'C'), (5, 'C'), (12, 'S'), (12, 'D'), (5, 'H')]","[(6, 'D'), (7, 'D')]",[],"[(8, 'C'), (9, 'S')]",14.0
80,"[(6, 'S'), (9, 'C'), (5, 'C'), (12, 'S'), (12, 'D'), (5, 'H'), (7, 'C'), (3, 'S')]","[(6, 'D'), (7, 'D'), (8, 'C'), (9, 'S')]",[],"[(6, 'S'), (9, 'C')]",14.0
80,"[(5, 'C'), (12, 'S'), (12, 'D'), (5, 'H'), (7, 'C'), (3, 'S'), (9, 'D'), (1, 'H')]","[(6, 'D'), (7, 'D'), (8, 'C'), (9, 'S'), (6, 'S'), (9, 'C')]",[],"[(5, 'C'), (12, 'S')]",17.0
80,"[(12, 'D'), (5, 'H'), (7, 'C'), (3, 'S'), (9, 'D'), (1, 'H'), (3, 'H'), (13, 'D')]","[(6, 'D'), (7, 'D'), (8, 'C'), (9, 'S'), (6, 'S'), (9, 'C'), (5, 'C'), (12, 'S')]",[],"[(12, 'D')]",35.0
80,"[(5, 'H'), (7, 'C'), (3, 'S'), (9, 'D'), (1, 'H'), (3, 'H'), (13, 'D'), (9, 'H')]","[(6, 'D'), (7, 'D'), (8, 'C'), (9, 'S'), (6, 'S'), (9, 'C'), (5, 'C'), (12, 'S')]","[(12, 'D')]","[(5, 'H'), (9, 'D'), (1, 'H'), (3, 'H'), (9, 'H')]",56.0
81,"[(12, 'S'), (8, 'S'), (9, 'H'), (12, 'C'), (4, 'S'), (13, 'S'), (13, 'H'), (1, 'C')]",[],[],"[(12, 'S'), (8, 'S')]",17.0
81,"[(9, 'H'), (12, 'C'), (4, 'S'), (13, 'S'), (13, 'H'), (1, 'C'), (3, 'S'), (12, 'D')]","[(12, 'S'), (8, 'S')]",[],"[(9, 'H'), (12, 'C'), (13, 'S'), (13, 'H'), (12, 'D')]",140.0
81,"[(4, 'S'), (1, 'C'), (3, 'S'), (2, 'D'), (4, 'D'), (6, 'S'), (8, 'C'), (12, 'H')]","[(12, 'S'), (8, 'S'), (9, 'H'), (12, 'C'), (13, 'S'), (13, 'H'), (12, 'D')]",[],"[(4, 'S'), (1, 'C'), (3, 'S'), (2, 'D')]",9.0
81,"[(4, 'D'), (6, 'S'), (8, 'C'), (12, 'H'), (7, 'D'), (6, 'D'), (10, 'D'), (8, 'D')]","[(12, 'S'), (8, 'S'), (9, 'H'), (12, 'C'), (13, 'S'), (13, 'H'), (12, 'D'), (4, 'S'), (1, 'C'), (3, 'S'), (2, 'D')]",[],"[(4, 'D'), (12, 'H'), (7, 'D'), (6, 'D'), (10, 'D')]",17.0
81,"[(6, 'S'), (8, 'C'), (8, 'D'), (10, 'C'), (1, 'S'), (5, 'S'), (5, 'D'), (9, 'C')]","[(12, 'S'), (8, 'S'), (9, 'H'), (12, 'C'), (13, 'S'), (13, 'H'), (12, 'D'), (4, 'S'), (1, 'C'), (3, 'S'), (2, 'D'), (4, 'D'), (12, 'H'), (7, 'D'), (6, 'D'), (10, 'D')]",[],"[(6, 'S'), (8, 'C')]",0.0
81,"[(8, 'D'), (10, 'C'), (1, 'S'), (5, 'S'), (5, 'D'), (9, 'C'), (11, 'C'), (5, 'H')]","[(12, 'S'), (8, 'S'), (9, 'H'), (12, 'C'), (13, 'S'), (13, 'H'), (12, 'D'), (4, 'S'), (1, 'C'), (3, 'S'), (2, 'D'), (4, 'D'), (12, 'H'), (7, 'D'), (6, 'D'), (10, 'D')]","[(6, 'S'), (8, 'C')]","[(1, 'S'), (5, 'S'), (5, 'D')]",40.0
82,"[(5, 'D'), (6, 'H'), (10, 'D'), (7, 'S'), (2, 'C'), (8, 'C'), (4, 'S'), (9, 'D')]",[],[],"[(5, 'D'), (6, 'H'), (7, 'S')]",12.0
82,"[(10, 'D'), (2, 'C'), (8, 'C'), (4, 'S'), (9, 'D'), (3, 'D'), (6, 'C'), (11, 'D')]","[(5, 'D'), (6, 'H'), (7, 'S')]",[],"[(10, 'D'), (8, 'C'), (9, 'D')]",15.0
