episode,hand,played_cards,discarded_cards,selected_cards,reward
86,"[(9, 'H'), (11, 'H'), (13, 'D'), (10, 'D'), (1, 'C'), (2, 'C'), (1, 'D'), (6, 'D')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S'), (2, 'D'), (6, 'C'), (7, 'C'), (4, 'D'), (1, 'S'), (1, 'H'), (5, 'C'), (4, 'C'), (6, 'H'), (3, 'H'), (5, 'H')]","[(3, 'S'), (2, 'H'), (3, 'D')]","[(9, 'H'), (11, 'H')]",0.0
86,"[(13, 'D'), (10, 'D'), (1, 'C'), (2, 'C'), (1, 'D'), (6, 'D'), (3, 'C'), (12, 'H')]","[(8, 'C'), (12, 'S'), (8, 'S'), (11, 'S'), (13, 'S'), (2, 'D'), (6, 'C'), (7, 'C'), (4, 'D'), (1, 'S'), (1, 'H'), (5, 'C'), (4, 'C'), (6, 'H'), (3, 'H'), (5, 'H')]","[(3, 'S'), (2, 'H'), (3, 'D'), (9, 'H'), (11, 'H')]","[(13, 'D'), (10, 'D')]",18.0
87,"[(4, 'S'), (9, 'S'), (11, 'S'), (7, 'D'), (5, 'D'), (4, 'H'), (10, 'H'), (7, 'H')]",[],[],"[(4, 'S'), (9, 'S'), (11, 'S')]",16.0
87,"[(7, 'D'), (5, 'D'), (4, 'H'), (10, 'H'), (7, 'H'), (13, 'H'), (7, 'S'), (12, 'S')]","[(4, 'S'), (9, 'S'), (11, 'S')]",[],"[(7, 'D'), (5, 'D'), (10, 'H'), (7, 'H'), (13, 'H')]",48.0
87,"[(4, 'H'), (7, 'S'), (12, 'S'), (1, 'D'), (9, 'H'), (8, 'H'), (10, 'S'), (12, 'H')]","[(4, 'S'), (9, 'S'), (11, 'S'), (7, 'D'), (5, 'D'), (10, 'H'), (7, 'H'), (13, 'H')]",[],"[(4, 'H'), (12, 'S'), (9, 'H'), (8, 'H'), (12, 'H')]",68.0
87,"[(7, 'S'), (1, 'D'), (10, 'S'), (13, 'C'), (9, 'C'), (13, 'D'), (1, 'H'), (5, 'H')]","[(4, 'S'), (9, 'S'), (11, 'S'), (7, 'D'), (5, 'D'), (10, 'H'), (7, 'H'), (13, 'H'), (4, 'H'), (12, 'S'), (9, 'H'), (8, 'H'), (12, 'H')]",[],"[(7, 'S'), (10, 'S')]",15.0
87,"[(1, 'D'), (13, 'C'), (9, 'C'), (13, 'D'), (1, 'H'), (5, 'H'), (6, 'S'), (8, 'S')]","[(4, 'S'), (9, 'S'), (11, 'S'), (7, 'D'), (5, 'D'), (10, 'H'), (7, 'H'), (13, 'H'), (4, 'H'), (12, 'S'), (9, 'H'), (8, 'H'), (12, 'H'), (7, 'S'), (10, 'S')]",[],"[(1, 'D')]",0.0
87,"[(13, 'C'), (9, 'C'), (13, 'D'), (1, 'H'), (5, 'H'), (6, 'S'), (8, 'S'), (11, 'D')]","[(4, 'S'), (9, 'S'), (11, 'S'), (7, 'D'), (5, 'D'), (10, 'H'), (7, 'H'), (13, 'H'), (4, 'H'), (12, 'S'), (9, 'H'), (8, 'H'), (12, 'H'), (7, 'S'), (10, 'S')]","[(1, 'D')]","[(13, 'C'), (13, 'D')]",72.0
88,"[(9, 'H'), (7, 'C'), (10, 'S'), (9, 'D'), (1, 'D'), (4, 'D'), (5, 'H'), (6, 'S')]",[],[],"[(9, 'H'), (10, 'S'), (9, 'D')]",56.0
88,"[(7, 'C'), (1, 'D'), (4, 'D'), (5, 'H'), (6, 'S'), (5, 'S'), (8, 'C'), (9, 'S')]","[(9, 'H'), (10, 'S'), (9, 'D')]",[],"[(7, 'C'), (1, 'D')]",12.0
88,"[(4, 'D'), (5, 'H'), (6, 'S'), (5, 'S'), (8, 'C'), (9, 'S'), (2, 'D'), (2, 'H')]","[(9, 'H'), (10, 'S'), (9, 'D'), (7, 'C'), (1, 'D')]",[],"[(5, 'H'), (6, 'S')]",11.0
88,"[(4, 'D'), (5, 'S'), (8, 'C'), (9, 'S'), (2, 'D'), (2, 'H'), (4, 'C'), (11, 'S')]","[(9, 'H'), (10, 'S'), (9, 'D'), (7, 'C'), (1, 'D'), (5, 'H'), (6, 'S')]",[],"[(4, 'D'), (5, 'S')]",10.0
88,"[(8, 'C'), (9, 'S'), (2, 'D'), (2, 'H'), (4, 'C'), (11, 'S'), (10, 'D'), (12, 'H')]","[(9, 'H'), (10, 'S'), (9, 'D'), (7, 'C'), (1, 'D'), (5, 'H'), (6, 'S'), (4, 'D'), (5, 'S')]",[],"[(8, 'C'), (9, 'S')]",14.0
89,"[(12, 'S'), (5, 'C'), (13, 'S'), (1, 'S'), (11, 'C'), (2, 'D'), (2, 'C'), (12, 'H')]",[],[],"[(12, 'S'), (13, 'S'), (1, 'S'), (12, 'H')]",68.0
89,"[(5, 'C'), (11, 'C'), (2, 'D'), (2, 'C'), (5, 'S'), (3, 'D'), (6, 'H'), (6, 'C')]","[(12, 'S'), (13, 'S'), (1, 'S'), (12, 'H')]",[],"[(5, 'C'), (11, 'C')]",16.0
89,"[(2, 'D'), (2, 'C'), (5, 'S'), (3, 'D'), (6, 'H'), (6, 'C'), (7, 'D'), (6, 'S')]","[(12, 'S'), (13, 'S'), (1, 'S'), (12, 'H'), (5, 'C'), (11, 'C')]",[],"[(2, 'D'), (2, 'C'), (6, 'H'), (6, 'C')]",72.0
89,"[(5, 'S'), (3, 'D'), (7, 'D'), (6, 'S'), (8, 'C'), (7, 'S'), (4, 'D'), (8, 'H')]","[(12, 'S'), (13, 'S'), (1, 'S'), (12, 'H'), (5, 'C'), (11, 'C'), (2, 'D'), (2, 'C'), (6, 'H'), (6, 'C')]",[],"[(5, 'S'), (7, 'D'), (6, 'S'), (8, 'C'), (7, 'S')]",48.0
89,"[(3, 'D'), (4, 'D'), (8, 'H'), (11, 'D'), (12, 'C'), (13, 'C'), (10, 'S'), (3, 'H')]","[(12, 'S'), (13, 'S'), (1, 'S'), (12, 'H'), (5, 'C'), (11, 'C'), (2, 'D'), (2, 'C'), (6, 'H'), (6, 'C'), (5, 'S'), (7, 'D'), (6, 'S'), (8, 'C'), (7, 'S')]",[],"[(3, 'D'), (4, 'D')]",9.0
90,"[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (10, 'C')]",[],[],"[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H')]",17.0
90,"[(2, 'H'), (13, 'H'), (10, 'C'), (12, 'S'), (5, 'S'), (9, 'D'), (7, 'H'), (13, 'C')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H')]",[],"[(2, 'H'), (13, 'H'), (13, 'C')]",72.0
90,"[(10, 'C'), (12, 'S'), (5, 'S'), (9, 'D'), (7, 'H'), (4, 'S'), (5, 'C'), (10, 'H')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (13, 'C')]",[],"[(10, 'C')]",0.0
90,"[(12, 'S'), (5, 'S'), (9, 'D'), (7, 'H'), (4, 'S'), (5, 'C'), (10, 'H'), (1, 'C')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (13, 'C')]","[(10, 'C')]","[(12, 'S'), (10, 'H'), (1, 'C')]",17.0
90,"[(5, 'S'), (9, 'D'), (7, 'H'), (4, 'S'), (5, 'C'), (9, 'S'), (6, 'S'), (8, 'H')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (13, 'C'), (12, 'S'), (10, 'H'), (1, 'C')]","[(10, 'C')]","[(5, 'S')]",0.0
90,"[(9, 'D'), (7, 'H'), (4, 'S'), (5, 'C'), (9, 'S'), (6, 'S'), (8, 'H'), (3, 'C')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (13, 'C'), (12, 'S'), (10, 'H'), (1, 'C')]","[(10, 'C'), (5, 'S')]","[(9, 'D')]",0.0
90,"[(7, 'H'), (4, 'S'), (5, 'C'), (9, 'S'), (6, 'S'), (8, 'H'), (3, 'C'), (12, 'C')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (13, 'C'), (12, 'S'), (10, 'H'), (1, 'C')]","[(10, 'C'), (5, 'S'), (9, 'D')]","[(7, 'H'), (5, 'C'), (9, 'S'), (6, 'S')]",14.0
90,"[(4, 'S'), (8, 'H'), (3, 'C'), (12, 'C'), (5, 'H'), (10, 'S'), (6, 'C'), (2, 'C')]","[(12, 'H'), (7, 'D'), (3, 'H'), (6, 'H'), (4, 'H'), (2, 'H'), (13, 'H'), (13, 'C'), (12, 'S'), (10, 'H'), (1, 'C'), (7, 'H'), (5, 'C'), (9, 'S'), (6, 'S')]","[(10, 'C'), (5, 'S'), (9, 'D')]","[(4, 'S'), (3, 'C')]",9.0
91,"[(10, 'H'), (12, 'C'), (10, 'S'), (2, 'C'), (6, 'C'), (8, 'H'), (9, 'S'), (3, 'C')]",[],[],"[(10, 'H'), (10, 'S')]",60.0
91,"[(12, 'C'), (2, 'C'), (6, 'C'), (8, 'H'), (9, 'S'), (3, 'C'), (1, 'H'), (7, 'H')]","[(10, 'H'), (10, 'S')]",[],"[(12, 'C'), (2, 'C'), (6, 'C')]",17.0
91,"[(8, 'H'), (9, 'S'), (3, 'C'), (1, 'H'), (7, 'H'), (5, 'S'), (1, 'D'), (5, 'H')]","[(10, 'H'), (10, 'S'), (12, 'C'), (2, 'C'), (6, 'C')]",[],"[(8, 'H'), (9, 'S')]",14.0
91,"[(3, 'C'), (1, 'H'), (7, 'H'), (5, 'S'), (1, 'D'), (5, 'H'), (2, 'D'), (11, 'C')]","[(10, 'H'), (10, 'S'), (12, 'C'), (2, 'C'), (6, 'C'), (8, 'H'), (9, 'S')]",[],"[(3, 'C'), (1, 'H')]",8.0
91,"[(7, 'H'), (5, 'S'), (1, 'D'), (5, 'H'), (2, 'D'), (11, 'C'), (3, 'D'), (4, 'C')]","[(10, 'H'), (10, 'S'), (12, 'C'), (2, 'C'), (6, 'C'), (8, 'H'), (9, 'S'), (3, 'C'), (1, 'H')]",[],"[(7, 'H'), (5, 'H')]",12.0
92,"[(11, 'H'), (13, 'H'), (10, 'S'), (2, 'H'), (13, 'C'), (2, 'C'), (10, 'D'), (11, 'C')]",[],[],"[(11, 'H'), (13, 'H')]",18.0
92,"[(10, 'S'), (2, 'H'), (13, 'C'), (2, 'C'), (10, 'D'), (11, 'C'), (4, 'D'), (4, 'S')]","[(11, 'H'), (13, 'H')]",[],"[(10, 'S'), (13, 'C'), (2, 'C'), (10, 'D')]",60.0
92,"[(2, 'H'), (11, 'C'), (4, 'D'), (4, 'S'), (13, 'S'), (5, 'C'), (13, 'D'), (5, 'H')]","[(11, 'H'), (13, 'H'), (10, 'S'), (13, 'C'), (2, 'C'), (10, 'D')]",[],"[(2, 'H'), (4, 'D'), (4, 'S'), (13, 'S'), (13, 'D'), (5, 'H')]",108.0
92,"[(11, 'C'), (5, 'C'), (9, 'S'), (2, 'D'), (1, 'S'), (3, 'D'), (9, 'D'), (10, 'C')]","[(11, 'H'), (13, 'H'), (10, 'S'), (13, 'C'), (2, 'C'), (10, 'D'), (2, 'H'), (4, 'D'), (4, 'S'), (13, 'S'), (13, 'D'), (5, 'H')]",[],"[(11, 'C')]",0.0
92,"[(5, 'C'), (9, 'S'), (2, 'D'), (1, 'S'), (3, 'D'), (9, 'D'), (10, 'C'), (11, 'S')]","[(11, 'H'), (13, 'H'), (10, 'S'), (13, 'C'), (2, 'C'), (10, 'D'), (2, 'H'), (4, 'D'), (4, 'S'), (13, 'S'), (13, 'D'), (5, 'H')]","[(11, 'C')]","[(5, 'C')]",44.0
92,"[(9, 'S'), (2, 'D'), (1, 'S'), (3, 'D'), (9, 'D'), (10, 'C'), (11, 'S'), (11, 'D')]","[(11, 'H'), (13, 'H'), (10, 'S'), (13, 'C'), (2, 'C'), (10, 'D'), (2, 'H'), (4, 'D'), (4, 'S'), (13, 'S'), (13, 'D'), (5, 'H')]","[(11, 'C'), (5, 'C')]","[(9, 'S'), (1, 'S'), (9, 'D'), (11, 'S')]",56.0
92,"[(2, 'D'), (3, 'D'), (10, 'C'), (11, 'D'), (6, 'C'), (7, 'S'), (6, 'D'), (3, 'H')]","[(11, 'H'), (13, 'H'), (10, 'S'), (13, 'C'), (2, 'C'), (10, 'D'), (2, 'H'), (4, 'D'), (4, 'S'), (13, 'S'), (13, 'D'), (5, 'H'), (9, 'S'), (1, 'S'), (9, 'D'), (11, 'S')]","[(11, 'C'), (5, 'C')]","[(2, 'D'), (3, 'D')]",28.0
92,"[(10, 'C'), (11, 'D'), (6, 'C'), (7, 'S'), (6, 'D'), (3, 'H'), (10, 'H'), (4, 'C')]","[(11, 'H'), (13, 'H'), (10, 'S'), (13, 'C'), (2, 'C'), (10, 'D'), (2, 'H'), (4, 'D'), (4, 'S'), (13, 'S'), (13, 'D'), (5, 'H'), (9, 'S'), (1, 'S'), (9, 'D'), (11, 'S')]","[(11, 'C'), (5, 'C'), (2, 'D'), (3, 'D')]","[(10, 'C'), (11, 'D')]",16.0
93,"[(13, 'H'), (13, 'S'), (8, 'C'), (9, 'S'), (12, 'C'), (1, 'C'), (5, 'H'), (12, 'H')]",[],[],"[(13, 'H'), (13, 'S')]",72.0
93,"[(8, 'C'), (9, 'S'), (12, 'C'), (1, 'C'), (5, 'H'), (12, 'H'), (7, 'H'), (3, 'D')]","[(13, 'H'), (13, 'S')]",[],"[(8, 'C'), (9, 'S')]",14.0
93,"[(12, 'C'), (1, 'C'), (5, 'H'), (12, 'H'), (7, 'H'), (3, 'D'), (5, 'C'), (8, 'D')]","[(13, 'H'), (13, 'S'), (8, 'C'), (9, 'S')]",[],"[(12, 'C'), (12, 'H'), (7, 'H')]",68.0
93,"[(1, 'C'), (5, 'H'), (3, 'D'), (5, 'C'), (8, 'D'), (2, 'H'), (4, 'C'), (4, 'D')]","[(13, 'H'), (13, 'S'), (8, 'C'), (9, 'S'), (12, 'C'), (12, 'H'), (7, 'H')]",[],"[(1, 'C'), (3, 'D'), (5, 'C'), (4, 'C'), (4, 'D')]",36.0
93,"[(5, 'H'), (8, 'D'), (2, 'H'), (2, 'C'), (11, 'D'), (5, 'D'), (13, 'C'), (6, 'C')]","[(13, 'H'), (13, 'S'), (8, 'C'), (9, 'S'), (12, 'C'), (12, 'H'), (7, 'H'), (1, 'C'), (3, 'D'), (5, 'C'), (4, 'C'), (4, 'D')]",[],"[(5, 'H'), (2, 'H')]",10.0
94,"[(8, 'H'), (9, 'D'), (8, 'D'), (11, 'H'), (10, 'S'), (13, 'H'), (12, 'C'), (12, 'H')]",[],[],"[(8, 'H'), (9, 'D')]",14.0
94,"[(8, 'D'), (11, 'H'), (10, 'S'), (13, 'H'), (12, 'C'), (12, 'H'), (13, 'D'), (12, 'S')]","[(8, 'H'), (9, 'D')]",[],"[(8, 'D'), (11, 'H'), (10, 'S'), (13, 'H'), (12, 'C')]",18.0
94,"[(12, 'H'), (13, 'D'), (12, 'S'), (6, 'H'), (3, 'H'), (4, 'H'), (9, 'S'), (11, 'S')]","[(8, 'H'), (9, 'D'), (8, 'D'), (11, 'H'), (10, 'S'), (13, 'H'), (12, 'C')]",[],"[(12, 'H'), (13, 'D')]",18.0
94,"[(12, 'S'), (6, 'H'), (3, 'H'), (4, 'H'), (9, 'S'), (11, 'S'), (10, 'D'), (1, 'D')]","[(8, 'H'), (9, 'D'), (8, 'D'), (11, 'H'), (10, 'S'), (13, 'H'), (12, 'C'), (12, 'H'), (13, 'D')]",[],"[(12, 'S'), (6, 'H'), (3, 'H'), (4, 'H')]",17.0
94,"[(9, 'S'), (11, 'S'), (10, 'D'), (1, 'D'), (11, 'D'), (9, 'H'), (1, 'S'), (1, 'C')]","[(8, 'H'), (9, 'D'), (8, 'D'), (11, 'H'), (10, 'S'), (13, 'H'), (12, 'C'), (12, 'H'), (13, 'D'), (12, 'S'), (6, 'H'), (3, 'H'), (4, 'H')]",[],"[(9, 'S'), (11, 'S'), (10, 'D')]",16.0
95,"[(12, 'H'), (6, 'D'), (10, 'H'), (8, 'C'), (7, 'D'), (1, 'D'), (12, 'S'), (3, 'C')]",[],[],"[(12, 'H'), (10, 'H')]",17.0
95,"[(6, 'D'), (8, 'C'), (7, 'D'), (1, 'D'), (12, 'S'), (3, 'C'), (4, 'D'), (8, 'H')]","[(12, 'H'), (10, 'H')]",[],"[(6, 'D'), (8, 'C'), (7, 'D')]",13.0
95,"[(1, 'D'), (12, 'S'), (3, 'C'), (4, 'D'), (8, 'H'), (8, 'S'), (13, 'H'), (9, 'S')]","[(12, 'H'), (10, 'H'), (6, 'D'), (8, 'C'), (7, 'D')]",[],"[(1, 'D'), (3, 'C'), (4, 'D'), (8, 'H')]",13.0
95,"[(12, 'S'), (8, 'S'), (13, 'H'), (9, 'S'), (5, 'D'), (11, 'H'), (5, 'H'), (2, 'S')]","[(12, 'H'), (10, 'H'), (6, 'D'), (8, 'C'), (7, 'D'), (1, 'D'), (3, 'C'), (4, 'D'), (8, 'H')]",[],"[(12, 'S'), (8, 'S'), (9, 'S')]",17.0
95,"[(13, 'H'), (5, 'D'), (11, 'H'), (5, 'H'), (2, 'S'), (11, 'S'), (3, 'S'), (2, 'C')]","[(12, 'H'), (10, 'H'), (6, 'D'), (8, 'C'), (7, 'D'), (1, 'D'), (3, 'C'), (4, 'D'), (8, 'H'), (12, 'S'), (8, 'S'), (9, 'S')]",[],"[(13, 'H'), (5, 'D')]",0.0
95,"[(11, 'H'), (5, 'H'), (2, 'S'), (11, 'S'), (3, 'S'), (2, 'C'), (8, 'D'), (3, 'H')]","[(12, 'H'), (10, 'H'), (6, 'D'), (8, 'C'), (7, 'D'), (1, 'D'), (3, 'C'), (4, 'D'), (8, 'H'), (12, 'S'), (8, 'S'), (9, 'S')]","[(13, 'H'), (5, 'D')]","[(11, 'H')]",0.0
95,"[(5, 'H'), (2, 'S'), (11, 'S'), (3, 'S'), (2, 'C'), (8, 'D'), (3, 'H'), (13, 'C')]","[(12, 'H'), (10, 'H'), (6, 'D'), (8, 'C'), (7, 'D'), (1, 'D'), (3, 'C'), (4, 'D'), (8, 'H'), (12, 'S'), (8, 'S'), (9, 'S')]","[(13, 'H'), (5, 'D'), (11, 'H')]","[(5, 'H')]",28.0
95,"[(2, 'S'), (11, 'S'), (3, 'S'), (2, 'C'), (8, 'D'), (3, 'H'), (13, 'C'), (2, 'H')]","[(12, 'H'), (10, 'H'), (6, 'D'), (8, 'C'), (7, 'D'), (1, 'D'), (3, 'C'), (4, 'D'), (8, 'H'), (12, 'S'), (8, 'S'), (9, 'S')]","[(13, 'H'), (5, 'D'), (11, 'H'), (5, 'H')]","[(2, 'S'), (11, 'S'), (3, 'S')]",16.0
96,"[(4, 'S'), (2, 'D'), (6, 'S'), (6, 'D'), (10, 'H'), (11, 'C'), (12, 'C'), (12, 'H')]",[],[],"[(6, 'S'), (6, 'D'), (10, 'H'), (11, 'C'), (12, 'C')]",44.0
96,"[(4, 'S'), (2, 'D'), (12, 'H'), (9, 'S'), (6, 'C'), (1, 'S'), (3, 'H'), (1, 'C')]","[(6, 'S'), (6, 'D'), (10, 'H'), (11, 'C'), (12, 'C')]",[],"[(4, 'S'), (12, 'H')]",17.0
96,"[(2, 'D'), (9, 'S'), (6, 'C'), (1, 'S'), (3, 'H'), (1, 'C'), (12, 'S'), (7, 'S')]","[(6, 'S'), (6, 'D'), (10, 'H'), (11, 'C'), (12, 'C'), (4, 'S'), (12, 'H')]",[],"[(2, 'D'), (1, 'S'), (3, 'H'), (1, 'C'), (12, 'S'), (7, 'S')]",24.0
96,"[(9, 'S'), (6, 'C'), (6, 'H'), (13, 'C'), (8, 'D'), (8, 'S'), (7, 'C'), (7, 'D')]","[(6, 'S'), (6, 'D'), (10, 'H'), (11, 'C'), (12, 'C'), (4, 'S'), (12, 'H'), (2, 'D'), (1, 'S'), (3, 'H'), (1, 'C'), (12, 'S'), (7, 'S')]",[],"[(9, 'S'), (6, 'C')]",14.0
96,"[(6, 'H'), (13, 'C'), (8, 'D'), (8, 'S'), (7, 'C'), (7, 'D'), (5, 'S'), (10, 'C')]","[(6, 'S'), (6, 'D'), (10, 'H'), (11, 'C'), (12, 'C'), (4, 'S'), (12, 'H'), (2, 'D'), (1, 'S'), (3, 'H'), (1, 'C'), (12, 'S'), (7, 'S'), (9, 'S'), (6, 'C')]",[],"[(13, 'C')]",18.0
97,"[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C'), (3, 'D'), (10, 'H'), (11, 'C'), (5, 'S')]",[],[],"[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C')]",17.0
97,"[(3, 'D'), (10, 'H'), (11, 'C'), (5, 'S'), (10, 'S'), (2, 'C'), (4, 'S'), (11, 'D')]","[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C')]",[],"[(10, 'H'), (11, 'C'), (10, 'S'), (11, 'D')]",124.0
97,"[(3, 'D'), (5, 'S'), (2, 'C'), (4, 'S'), (12, 'S'), (13, 'S'), (9, 'H'), (12, 'D')]","[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C'), (10, 'H'), (11, 'C'), (10, 'S'), (11, 'D')]",[],"[(5, 'S'), (2, 'C'), (4, 'S'), (12, 'S'), (13, 'S')]",18.0
97,"[(3, 'D'), (9, 'H'), (12, 'D'), (4, 'H'), (4, 'C'), (10, 'C'), (11, 'H'), (11, 'S')]","[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C'), (10, 'H'), (11, 'C'), (10, 'S'), (11, 'D'), (5, 'S'), (2, 'C'), (4, 'S'), (12, 'S'), (13, 'S')]",[],"[(9, 'H'), (4, 'H'), (4, 'C'), (11, 'H'), (11, 'S')]",100.0
97,"[(3, 'D'), (12, 'D'), (10, 'C'), (13, 'C'), (5, 'D'), (10, 'D'), (6, 'C'), (13, 'H')]","[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C'), (10, 'H'), (11, 'C'), (10, 'S'), (11, 'D'), (5, 'S'), (2, 'C'), (4, 'S'), (12, 'S'), (13, 'S'), (9, 'H'), (4, 'H'), (4, 'C'), (11, 'H'), (11, 'S')]",[],"[(3, 'D')]",0.0
97,"[(12, 'D'), (10, 'C'), (13, 'C'), (5, 'D'), (10, 'D'), (6, 'C'), (13, 'H'), (6, 'S')]","[(3, 'C'), (8, 'C'), (6, 'H'), (12, 'C'), (10, 'H'), (11, 'C'), (10, 'S'), (11, 'D'), (5, 'S'), (2, 'C'), (4, 'S'), (12, 'S'), (13, 'S'), (9, 'H'), (4, 'H'), (4, 'C'), (11, 'H'), (11, 'S')]","[(3, 'D')]","[(12, 'D'), (10, 'C'), (13, 'C')]",18.0
98,"[(7, 'C'), (1, 'H'), (6, 'S'), (12, 'D'), (9, 'C'), (7, 'D'), (2, 'D'), (7, 'S')]",[],[],"[(7, 'C'), (1, 'H')]",12.0
98,"[(6, 'S'), (12, 'D'), (9, 'C'), (7, 'D'), (2, 'D'), (7, 'S'), (13, 'D'), (10, 'C')]","[(7, 'C'), (1, 'H')]",[],"[(6, 'S'), (12, 'D'), (9, 'C')]",17.0
98,"[(7, 'D'), (2, 'D'), (7, 'S'), (13, 'D'), (10, 'C'), (3, 'H'), (10, 'S'), (12, 'C')]","[(7, 'C'), (1, 'H'), (6, 'S'), (12, 'D'), (9, 'C')]",[],"[(7, 'D'), (7, 'S'), (13, 'D'), (12, 'C')]",48.0
98,"[(2, 'D'), (10, 'C'), (3, 'H'), (10, 'S'), (10, 'D'), (2, 'H'), (4, 'S'), (5, 'C')]","[(7, 'C'), (1, 'H'), (6, 'S'), (12, 'D'), (9, 'C'), (7, 'D'), (7, 'S'), (13, 'D'), (12, 'C')]",[],"[(2, 'D'), (10, 'C'), (10, 'S'), (10, 'D')]",180.0
98,"[(3, 'H'), (2, 'H'), (4, 'S'), (5, 'C'), (8, 'C'), (13, 'S'), (1, 'C'), (4, 'C')]","[(7, 'C'), (1, 'H'), (6, 'S'), (12, 'D'), (9, 'C'), (7, 'D'), (7, 'S'), (13, 'D'), (12, 'C'), (2, 'D'), (10, 'C'), (10, 'S'), (10, 'D')]",[],"[(3, 'H')]",0.0
98,"[(2, 'H'), (4, 'S'), (5, 'C'), (8, 'C'), (13, 'S'), (1, 'C'), (4, 'C'), (3, 'D')]","[(7, 'C'), (1, 'H'), (6, 'S'), (12, 'D'), (9, 'C'), (7, 'D'), (7, 'S'), (13, 'D'), (12, 'C'), (2, 'D'), (10, 'C'), (10, 'S'), (10, 'D')]","[(3, 'H')]","[(2, 'H')]",7.0
99,"[(3, 'S'), (10, 'C'), (10, 'D'), (3, 'H'), (12, 'S'), (6, 'H'), (11, 'H'), (4, 'C')]",[],[],"[(3, 'S'), (10, 'C'), (10, 'D')]",60.0
99,"[(3, 'H'), (12, 'S'), (6, 'H'), (11, 'H'), (4, 'C'), (7, 'H'), (3, 'C'), (11, 'S')]","[(3, 'S'), (10, 'C'), (10, 'D')]",[],"[(3, 'H'), (12, 'S'), (6, 'H'), (11, 'H')]",17.0
99,"[(4, 'C'), (7, 'H'), (3, 'C'), (11, 'S'), (6, 'D'), (2, 'H'), (9, 'H'), (10, 'H')]","[(3, 'S'), (10, 'C'), (10, 'D'), (3, 'H'), (12, 'S'), (6, 'H'), (11, 'H')]",[],"[(7, 'H'), (11, 'S'), (6, 'D'), (2, 'H'), (9, 'H'), (10, 'H')]",16.0
99,"[(4, 'C'), (3, 'C'), (11, 'C'), (5, 'D'), (6, 'S'), (5, 'H'), (5, 'C'), (4, 'S')]","[(3, 'S'), (10, 'C'), (10, 'D'), (3, 'H'), (12, 'S'), (6, 'H'), (11, 'H'), (7, 'H'), (11, 'S'), (6, 'D'), (2, 'H'), (9, 'H'), (10, 'H')]",[],"[(4, 'C'), (3, 'C'), (11, 'C')]",16.0
99,"[(5, 'D'), (6, 'S'), (5, 'H'), (5, 'C'), (4, 'S'), (5, 'S'), (8, 'D'), (8, 'C')]","[(3, 'S'), (10, 'C'), (10, 'D'), (3, 'H'), (12, 'S'), (6, 'H'), (11, 'H'), (7, 'H'), (11, 'S'), (6, 'D'), (2, 'H'), (9, 'H'), (10, 'H'), (4, 'C'), (3, 'C'), (11, 'C')]",[],"[(5, 'D'), (5, 'H'), (5, 'C'), (5, 'S')]",560.0
