episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
100,769,391.73333333333335,195.0,198.0,135.548,140.51,141.64,419.0,0.05,0.3
200,1522,85.43333333333334,205.0,206.0,134.73033333333333,141.62,142.38,419.0,0.05,0.3
300,2286,-174.43333333333334,147.0,149.0,144.94966666666667,151.02,151.98,427.0,0.05,0.3
400,3060,-73.69999999999999,105.0,105.0,183.47133333333335,165.14,166.12,440.0,0.05,0.3
500,3818,-22.966666666666697,72.0,72.0,157.15066666666664,148.2,149.22,440.0,0.05,0.3
