episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
100,769,391.73333333333335,195.0,198.0,135.548,140.51,141.64,419.0,0.05,0.3
200,1522,85.43333333333334,205.0,206.0,134.73033333333333,141.62,142.38,419.0,0.05,0.3
300,2286,-174.43333333333334,147.0,149.0,144.94966666666667,151.02,151.98,427.0,0.05,0.3
400,3060,-73.69999999999999,105.0,105.0,183.47133333333335,165.14,166.12,440.0,0.05,0.3
500,3818,-22.966666666666697,72.0,72.0,157.15066666666664,148.2,149.22,440.0,0.05,0.3
600,4582,222.79999999999998,107.0,109.0,145.22899999999998,148.49,149.53,487.0,0.04983673469387755,0.3208333333333333
700,5332,490.5333333333333,285.0,286.0,141.507,149.31,150.28,487.0,0.04983673469387755,0.3208333333333333
800,6094,191.06666666666666,202.0,202.0,133.36066666666667,138.3,139.14,487.0,0.04983673469387755,0.3208333333333333
900,6853,41.2,158.0,159.0,136.217,151.5,152.39,487.0,0.04983673469387755,0.3208333333333333
1000,7609,170.4,124.0,124.0,114.368,141.83,142.83,487.0,0.04983673469387755,0.3208333333333333
1100,8364,194.66666666666666,146.0,147.0,152.03333333333333,141.57,142.51,487.0,0.049673469387755104,0.3416666666666667
1200,9108,-435.6,69.0,70.0,159.82233333333335,141.63,142.83,487.0,0.049673469387755104,0.3416666666666667
1300,9873,264.3333333333333,241.0,242.0,159.71533333333332,146.58,147.57,487.0,0.049673469387755104,0.3416666666666667
1400,10639,374.6666666666667,180.0,180.0,112.15133333333333,136.47,137.22,487.0,0.049673469387755104,0.3416666666666667
1500,11410,-28.266666666666666,75.0,76.0,150.10466666666667,151.81,152.73,487.0,0.049673469387755104,0.3416666666666667
1600,12175,263.0,263.0,266.0,132.44466666666668,154.44,155.64,487.0,0.049673469387755104,0.3416666666666667
1700,12941,323.4666666666667,167.0,167.0,159.80866666666668,150.49,151.41,487.0,0.049510204081632654,0.3625
1800,13711,-138.23333333333335,105.0,106.0,129.85933333333332,138.06,138.85,487.0,0.049510204081632654,0.3625
1900,14474,231.66666666666669,192.0,193.0,148.3993333333333,147.41,148.45,487.0,0.049510204081632654,0.3625
2000,15244,114.13333333333334,90.0,92.0,127.57666666666664,158.81,159.93,487.0,0.049510204081632654,0.3625
2100,16010,13.766666666666652,239.0,240.0,151.40433333333334,139.34,140.21,487.0,0.049510204081632654,0.3625
2200,16768,403.09999999999997,234.0,234.0,149.86366666666666,150.84,151.71,487.0,0.049346938775510205,0.3833333333333333
2300,17536,129.06666666666666,70.0,70.0,173.22566666666665,160.85,161.88,498.0,0.049346938775510205,0.3833333333333333
2400,18291,14.666666666666686,122.0,122.0,137.3373333333333,154.68,155.72,498.0,0.049346938775510205,0.3833333333333333
2500,19041,330.20000000000005,221.0,226.0,124.905,146.26,147.32,498.0,0.049346938775510205,0.3833333333333333
2600,19797,68.29999999999998,132.0,134.0,173.15133333333335,148.63,149.89,498.0,0.049346938775510205,0.3833333333333333
2700,20551,314.1,277.0,278.0,187.28099999999998,158.4,159.51,498.0,0.049183673469387755,0.4041666666666667
2800,21301,193.16666666666666,113.0,114.0,217.93166666666673,177.01,178.27,817.0,0.049183673469387755,0.4041666666666667
2900,22039,174.13333333333333,129.0,130.0,126.39733333333334,155.04,156.48,817.0,0.049183673469387755,0.4041666666666667
3000,22795,326.6333333333333,144.0,145.0,161.59199999999998,159.29,160.52,817.0,0.049183673469387755,0.4041666666666667
3100,23543,107.0,119.0,120.0,158.28166666666667,162.51,163.79,817.0,0.049183673469387755,0.4041666666666667
3200,24298,109.36666666666667,261.0,262.0,146.06399999999996,149.62,150.96,817.0,0.049183673469387755,0.4041666666666667
3300,25059,137.4,132.0,134.0,149.6616666666667,152.54,153.97,817.0,0.049020408163265305,0.425
3400,25802,-176.5,204.0,206.0,138.546,162.95,164.57,817.0,0.049020408163265305,0.425
3500,26551,265.0,265.0,267.0,127.50033333333334,160.23,161.75,817.0,0.049020408163265305,0.425
3600,27319,235.5333333333333,164.0,166.0,154.75433333333334,154.65,156.21,817.0,0.049020408163265305,0.425
3700,28059,94.99999999999999,221.0,222.0,168.73733333333334,164.17,165.84,817.0,0.049020408163265305,0.425
3800,28802,-168.53333333333336,169.0,170.0,137.27266666666668,150.54,152.26,817.0,0.04885714285714286,0.4458333333333333
3900,29548,416.76666666666665,257.0,258.0,151.20866666666666,158.69,160.04,817.0,0.04885714285714286,0.4458333333333333
4000,30281,764.5666666666666,699.0,702.0,161.07133333333334,161.51,163.02,817.0,0.04885714285714286,0.4458333333333333
4100,31030,126.26666666666668,176.0,180.0,191.11600000000007,174.63,176.41,817.0,0.04885714285714286,0.4458333333333333
4200,31781,86.13333333333334,115.0,116.0,149.957,162.18,163.84,817.0,0.04885714285714286,0.4458333333333333
4300,32520,211.66666666666663,189.0,191.0,192.38733333333337,170.01,171.57,817.0,0.04885714285714286,0.4458333333333333
4400,33264,78.0,78.0,79.0,161.91966666666667,160.3,162.1,817.0,0.04869387755102041,0.4666666666666667
4500,34010,139.96666666666667,222.0,226.0,199.47600000000003,181.32,183.33,817.0,0.04869387755102041,0.4666666666666667
4600,34752,213.66666666666669,164.0,165.0,194.62033333333332,169.57,171.6,817.0,0.04869387755102041,0.4666666666666667
4700,35488,268.4333333333334,164.0,164.0,200.924,179.22,181.22,817.0,0.04869387755102041,0.4666666666666667
4800,36215,314.5333333333333,307.0,307.0,175.6756666666667,162.16,164.14,817.0,0.04869387755102041,0.4666666666666667
4900,36956,-291.5333333333333,330.0,334.0,164.8476666666667,171.77,173.8,817.0,0.048530612244897964,0.4875
5000,37687,265.56666666666666,86.0,90.0,163.75366666666667,173.46,175.66,817.0,0.048530612244897964,0.4875
5100,38417,78.66666666666669,74.0,77.0,182.24533333333332,171.43,173.67,817.0,0.048530612244897964,0.4875
5200,39147,269.56666666666666,160.0,162.0,164.931,160.48,162.61,817.0,0.048530612244897964,0.4875
5300,39880,-39.900000000000006,167.0,167.0,205.954,178.52,180.26,817.0,0.048530612244897964,0.4875
5400,40613,101.1,113.0,115.0,191.48666666666665,186.42,188.61,817.0,0.048530612244897964,0.4875
5500,41357,80.13333333333334,136.0,140.0,160.53166666666667,176.25,178.66,817.0,0.048367346938775514,0.5083333333333333
5600,42070,342.83333333333337,249.0,253.0,170.14266666666663,176.31,178.83,817.0,0.048367346938775514,0.5083333333333333
5700,42806,257.0,257.0,262.0,166.94133333333335,157.95,160.07,817.0,0.048367346938775514,0.5083333333333333
5800,43538,302.93333333333334,220.0,223.0,198.51033333333336,179.17,181.5,817.0,0.048367346938775514,0.5083333333333333
5900,44263,98.43333333333332,121.0,121.0,198.14866666666668,181.47,183.96,817.0,0.048367346938775514,0.5083333333333333
6000,44994,329.8666666666667,378.0,379.0,170.73166666666665,179.36,182.06,817.0,0.048367346938775514,0.5083333333333333
6100,45708,-53.66666666666667,149.0,150.0,223.59933333333333,195.09,197.63,817.0,0.048204081632653065,0.5291666666666667
6200,46414,95.1,188.0,191.0,160.64933333333332,179.18,181.8,817.0,0.048204081632653065,0.5291666666666667
6300,47125,209.13333333333333,154.0,156.0,206.65433333333334,188.57,191.55,817.0,0.048204081632653065,0.5291666666666667
6400,47843,166.0,166.0,166.0,180.48733333333334,201.69,204.42,817.0,0.048204081632653065,0.5291666666666667
6500,48562,225.53333333333333,205.0,207.0,188.78466666666668,189.99,193.0,850.0,0.048204081632653065,0.5291666666666667
6600,49282,106.26666666666668,134.0,134.0,204.547,187.04,190.05,850.0,0.048040816326530615,0.55
6700,50005,158.70000000000002,280.0,284.0,211.9926666666667,195.04,198.26,850.0,0.048040816326530615,0.55
6800,50721,-19.13333333333334,117.0,120.0,175.92733333333334,179.97,183.09,850.0,0.048040816326530615,0.55
6900,51451,91.0,91.0,94.0,183.62499999999997,191.2,194.29,850.0,0.048040816326530615,0.55
7000,52176,192.39999999999998,148.0,150.0,197.2996666666667,183.79,186.67,850.0,0.048040816326530615,0.55
7100,52921,38.866666666666674,165.0,170.0,211.7963333333333,197.28,200.62,850.0,0.048040816326530615,0.55
7200,53642,353.1333333333333,220.0,224.0,178.37,183.3,186.38,850.0,0.047877551020408166,0.5708333333333333
7300,54349,-86.56666666666666,93.0,97.0,195.19533333333328,194.16,197.44,850.0,0.047877551020408166,0.5708333333333333
7400,55082,343.0333333333333,164.0,165.0,222.2566666666667,183.07,186.45,850.0,0.047877551020408166,0.5708333333333333
7500,55809,147.06666666666666,108.0,109.0,199.50600000000003,189.69,193.18,850.0,0.047877551020408166,0.5708333333333333
7600,56540,276.20000000000005,167.0,170.0,208.87266666666667,185.95,189.24,850.0,0.047877551020408166,0.5708333333333333
7700,57267,43.866666666666674,186.0,191.0,195.99166666666665,189.59,192.87,850.0,0.047877551020408166,0.5708333333333333
7800,57972,152.0,152.0,152.0,218.61133333333336,189.13,192.85,850.0,0.047714285714285716,0.5916666666666667
7900,58685,-76.33333333333337,224.0,227.0,204.56633333333335,178.81,182.34,850.0,0.047714285714285716,0.5916666666666667
8000,59413,240.53333333333336,155.0,159.0,187.71300000000002,188.16,191.85,850.0,0.047714285714285716,0.5916666666666667
8100,60124,430.93333333333334,229.0,232.0,202.38733333333334,206.01,209.6,850.0,0.047714285714285716,0.5916666666666667
8200,60842,268.1333333333333,139.0,140.0,214.352,205.62,208.93,850.0,0.047714285714285716,0.5916666666666667
8300,61563,280.9,481.0,484.0,222.68866666666668,199.44,203.0,850.0,0.047551020408163266,0.6125
8400,62309,473.8666666666667,304.0,309.0,240.21366666666665,212.64,216.35,850.0,0.047551020408163266,0.6125
8500,63054,463.9666666666667,256.0,259.0,216.648,202.11,206.22,850.0,0.047551020408163266,0.6125
